reference,hypothesis,gpt_score
on a tablecloth,on saucer,0.3
orange,orange,1.0
cabbage,cabbage,1.0
green,verdant,1.0
carrot,carrots,1.0
on top,on topping,0.5
red,red,1.0
tacos,fried tacos,0.9
golden-brown,yellowish brown,0.8
spilling,being added,0.1
on a red plate,on plate,0.5
brown,brownish,0.8
plate,sauce,0.2
on top,on the fish,0.2
topping,fruit salsa,0.1
tacos,vegetarian tacos,0.9
red,red,1.0
on plate,on plate,1.0
green,pale verdant,0.8
tacos,fried bread taco,0.8
golden-brown,beige,0.4
red,red,1.0
behind,on plate,0.0
brown,brownish orange,0.7
taffy,butterscotch squares,0.2
white,ivory,0.8
orange,darker brown,0.1
across a white surface,white surface,0.9
tamale,tamale,1.0
yellow,yellow,1.0
on a white plate,on plate,0.7
golden-brown,yellowish brown,0.8
taquitos,empanadas,0.2
brown,light dark,0.1
tan,yellow orange,0.1
taquitos,flatbread nachos,0.2
orange,yellowish orange,0.8
scattered over,on food,0.0
wooden,wood,0.8
yellow,yellowish brown,0.8
plate,on a plate,0.7
white,ivory,0.8
toasted,flaky crumbly,0.2
on a plate,on platter,0.8
golden brown,tan,0.7
tater tots,cauliflower,0.1
white,ivory,0.8
over the tater tots,food item,0.1
orange,light brown,0.2
glass,a tumbler,0.7
scattered,scattered around liquid,0.8
brown,brown,1.0
on top,in beverage,0.0
amber,amber,1.0
tea,herbal drink,0.7
lemon,citrus slice,0.7
green,green,1.0
on the surface,in cup,0.1
mug,glass mug,0.8
beige,light brown,0.8
on a white tiled surface,countertop tiles,0.4
tea,horchata,0.2
glass,a glass,0.9
tan,pale yellow,0.1
in the center,in cup,0.2
Hot,hot,1.0
Tea,black liquid,0.5
Amber,dark brown,0.3
Resting on a saucer,on saucer,0.8
Ginger,undefined,0.0
clear,clear,1.0
green,verdant,1.0
reddish-pink,reddish brown,0.6
to the left,surface the,0.0
brown,brown,1.0
chicken,poultry meat,0.8
white,cream,0.8
white,white,1.0
tenderloins,pork loin,0.7
reddish-brown,brown reddish,0.9
drizzled,it's drizzled,0.9
on top,on the meat,0.3
pink,light rose,0.8
pork,pork tenderloin,0.9
dark brown,brown and black,0.5
seared,grilled/roasted,0.7
from the bottom left,bottom front,0.4
golden,golden brown,0.8
chicken,chicken breast,0.9
brown,dark brown,0.8
piled on top,on protein,0.0
green,emerald,0.8
white,white,1.0
tilapia,baked fillet,0.3
golden-brown,yellowish brown,0.8
to the left,left of it,0.9
textured,bumpy textured food,0.8
white,ivory,0.8
red,red,1.0
on top,on bread,0.3
ice cream,ice cream,1.0
located inside,inside container,0.9
tofu,pistachio flavor,0.0
creamy,in containers,0.0
scooped,in jars,0.1
tofu,bean curd,1.0
red,red,1.0
golden-brown,tan,0.7
eggplant,zucchini eggplant,0.8
Agedashi,agedashi tofu,0.9
brown,brown,1.0
scattered,clustered together,0.0
tan,light brown,0.3
shifted to the left,on surface,0.0
green,verdant,1.0
scattered,randomly placed,0.8
orange,brown,0.2
tofu,tofu,1.0
resting between,on grain,0.0
rice,some grains,0.3
scattered,around the bean curd,0.1
brown,brownish,0.8
scattered,mixed with other stuff,0.3
broccoli,broccoli,1.0
green,emerald,0.8
tofu,fried tofu,0.9
blue,indigo,0.8
on the left side,on dish,0.1
golden-brown,yellowish brown,0.8
decorative,ceramic round,0.2
tofu,tofu cubes,0.9
blue,white black,0.0
on the upper left,upper left,0.9
mushrooms,green onions,0.1
red,scarlet,0.9
tomatoes,tomatoes,1.0
white,ivory,0.8
closer to,closest observer,0.3
green,green,1.0
red,red,1.0
tomatoes,tomatoes peppers,0.8
yellow,dark or black,0.0
tomato,cheese mixture,0.0
transparent,glass pan,0.5
orange,orange yellow,0.8
gluten-free,cannot tell,0.0
yellow,golden yellow,0.9
on the plate,above stuff,0.1
brown,dark brown,0.8
white,ivory,0.8
meringue,topping,0.3
browned,golden spots,0.2
amber-colored,yellowish brown,0.7
on a dark surface,black surface,0.9
white,is white,1.0
tortes,jam topped cakes,0.4
copper-colored,copper,0.9
on a plate,"wire rack, plate",0.5
green,pale greenish,0.8
mousse,icing frosting cream,0.3
white,ivory,0.8
brown,brown,1.0
on top of,on frosting,0.3
plum,apricots,0.4
round,round,1.0
yellow,yellowish brown,0.8
white,ivory,0.8
over the surface,cake topping,0.0
yellow,light yellow,0.8
tortellini,tortellini,1.0
orange,orange,1.0
tortellini,tortellini farfalle,0.8
yellow,yellow,1.0
red,red,1.0
on an orange plate,on plate,0.5
blue,light blue,0.8
tortellini,tortelloni,0.9
green,verdant,1.0
powdered,powdery dusted,0.8
yellow,yellowish brown,0.8
brown,brown maroon,0.8
in the center,within dish,0.2
yellow-tan,yellowish,0.8
tortillas,tortillas,1.0
stacked,stacked,1.0
round,round,1.0
tan,light brown,0.2
tortillas,flatbreads,0.7
blue,multi colored,0.2
on top of,on cloth,0.2
tortilla,flatbread,0.7
brown,brown,1.0
green,green,1.0
on top,on tortilla,0.3
white,white,1.0
golden-brown,light brownish,0.7
meat,tater tots,0.1
on top of,on tots,0.2
scattered,scattered freely,0.9
marshmallows,sweet marshmallows,0.9
congealed,gooey bumpy,0.2
on wrinkled sheet,on parchment paper,0.3
creamy,creamy looking,0.9
trifle,banana pudding,0.1
yellow,light yellowish,0.8
on top,around edges,0.2
brown,light brown,0.8
golden-brown,yellowish brown,0.8
cake,cake cubes,0.9
red,red,1.0
with whipped topping,whipped cream,0.9
dessert,dessert cup,0.9
reddish-brown,brown,0.7
Tri-Tip,liver,0.0
white,ivory,0.8
on a plate,on plate,0.9
yellow-brown,tan,0.8
large,medium portion,0.3
fish,salmon fillet,0.7
orange,light orange,0.8
on the right,on the foodware,0.1
fish,baked fish,0.9
yellow,yellow,1.0
on the platter,on platter,0.9
fillets,baked ocean creatures,0.2
dark,brown,0.5
brown,dark brown,0.8
in a box,in cups,0.2
white,white,1.0
white,white,1.0
chocolate,chocolate,1.0
brown,brown,1.0
on a plate,on platter,0.9
truffles,dough truffles,0.8
brown,light brown,0.8
studded,smooth looking,0.1
at the top,on coatings,0.0
strawberry-filled,filling layer,0.3
truffles,chocolates,0.2
brown,brown,1.0
with a darker brown,brown,0.8
circular,round,1.0
yellow,pale yellow,0.8
tuna,tuna,1.0
creamy,creamy look,0.8
on the top of casserole,top of plate,0.5
white,ivory,0.8
white,blue white,0.5
green,greenish white,0.8
melted,it browned,0.2
in a white baking dish,blue pan,0.2
creamy,creamy cheesy,0.9
Turkey,none,0.0
yellow,yellowish white,0.7
mushrooms,mushroom,1.0
in a dish,in dish,0.9
brownish-orange,brown green,0.2
turkey,poultry,0.7
scattered,evenly spread,0.3
green,brown plus green,0.5
on the surface,on bird,0.1
white,white,1.0
blueberry,blueberries,1.0
golden-brown,beige,0.5
scattered,clustered around it,0.2
red,red and black,0.8
square,square,1.0
carrots,diced root,0.5
on top,inside bowl,0.1
golden-brown,golden brown,1.0
veal,chicken,0.1
white,white,1.0
on the plate,on plate,0.9
drizzled,drizzled on,0.9
white,ivory,0.8
vegetables,roasted vegetables,0.9
red,vermilion,0.9
on a plate,on plate,0.9
brown,light brown,0.8
Wellington,beef wellington,0.8
dark blue,dark blue,1.0
green,is emerald,0.8
vegetables,grilled vegetables,0.9
scattered,randomly placed,0.8
on a black grill pan,on grill,0.7
glazed,glossy and dark,0.6
reddish-brown,dark red,0.6
around the base,around food,0.3
blackberries,blackberries,1.0
brown,dark brown,0.8
venison,roast beef,0.2
gravy,brown sauce,0.7
green,green,1.0
on the plate,green surface,0.2
golden-brown,golden brown,1.0
venison,fried chicken,0.1
on a plate,on plate,0.9
overlapping,pile high,0.1
salad,green salad,0.9
green,green,1.0
in the salad,in salad,0.9
blueberries,blueberry,0.9
brown,dark color,0.5
reflecting,bending it,0.2
pitcher,pitcher,1.0
vinaigrette,balsamic vinaigrette,0.9
in the foreground,on food,0.0
vinaigrette,vinaigrette sauce,0.9
wooden,wood surface,0.8
yellow-brown,yellowish brown,0.9
jar,glass container,0.8
wooden,wood surface,0.8
on a wooden surface,on wood,0.9
green,green,1.0
scattered,scattered around,0.9
red,crimson,0.9
tomato,tomato and pomegranate,0.7
above the middle,in greens,0.1
golden-brown,golden brown,1.0
waffles,waffles,1.0
white,ivory,0.8
darker,brownness levels,0.3
on a white plate,on plate,0.7
golden,golden brown,0.8
brown,brown,1.0
on the left,inside it,0.1
red,red,1.0
waffle,waffle,1.0
red,red,1.0
on the waffle,on waffle,0.9
green,verdant hue,0.9
Awesome,tender flaky dish,0.1
Walleye,cod fillet,0.2
tan,ivory,0.0
red,crimson,0.9
watermelon,watermelon,1.0
white,ivory,0.8
on top,on red fruit,0.2
green,light green,0.8
pink,pink,1.0
watermelon,melon wedge,0.7
red,pink hue,0.6
clear,blue,0.2
orange,apricot,0.7
wedges,wedges,1.0
golden-brown,tan,0.7
on plate,orange dish,0.3
herbs,dried herbs,0.9
brown,reddish brown,0.8
white,cream,0.8
fries,fries with cheese,0.8
orange,orange peel,0.8
glasses,stemware cups,0.2
amber,yellowish brown,0.8
on the tray,golden surface,0.1
metallic,stainless steel,0.8
wings,the portion,0.0
orange,orange red,0.8
in the center,in bowl,0.2
saucy,glossy some,0.1
cauliflower,cauliflower,1.0
golden brown,yellowish brown,0.8
scattered across,scattered together,0.7
plate,blue dish,0.5
golden-brown,golden brown,1.0
wontons,crab rangoons,0.7
crispy,golden brown,0.6
bowl,a plate,0.2
in the bowl,in bowl,0.9
green,green,1.0
brownish,brown,0.8
on the lower right,bottom right,0.9
cilantro,cilantro,1.0
tan,beige,0.1
wraps,burrito halves,0.4
corn,corn beans peppers,0.3
pink,light reddish,0.8
on the plate,inside wrap,0.1
spinach,spinach and jalapeno,0.7
yellow,yellow,1.0
orange,orange,1.0
yams,sweet potatoes,0.7
glistening,glazed look,0.7
on top of,on carrots,0.2
green,pale verdant,0.8
orange,orange,1.0
yams,sweet potatoes,0.7
scattered,randomly placed,0.8
white,white,1.0
on a white surface,on surface,0.5
white,white,1.0
brown,golden brown,0.8
blueberries,dark berries,0.6
creamy,smooth creamy,0.9
yogurt,dairy product,0.8
red,red,1.0
on top,in bowl,0.1
blue,blue,1.0
raspberries,raspberries,1.0
blue,blue,1.0
ziti,rigatoni,0.5
reddish-orange,red,0.6
reddish-brown,reddish brown,1.0
spaghetti,zucchini noodles,0.5
throughout the entire pan,inside skillet,0.2
yellow,green yellowish,0.6
zucchini,zucchini,1.0
black,dark,0.7
in the center,on servingware,0.1
