Answer,Predict,gpt_score
on a white plate,on a plate,0.9
golden,golden-brown,0.7
brown,brown,1.0
on the left,in the center,0.2
red,red,1.0
waffle,toast,0.2
red,red,1.0
on the waffle,on top of,0.4
green,green,1.0
awesome,amazing,0.9
walleye,walleye,1.0
tan,golden-brown,0.7
red,red,1.0
watermelon,rhubarb,0.1
white,white,1.0
on top,on a plate,0.5
green,brown,0.1
pink,pink,1.0
watermelon,lemon,0.2
red,red,1.0
clear,clear,1.0
orange,white,0.0
wedges,rectangular,0.2
golden-brown,golden-brown,1.0
on plate,on a plate,1.0
herbs,herbs,1.0
brown,pink,0.1
white,golden-brown,0.2
fries,chips,0.9
orange,lemon,0.2
glasses,glasses,1.0
amber,red,0.2
on the tray,on a wooden surface,0.4
metallic,glass,0.2
wings,wings,1.0
orange,golden-brown,0.5
in the center,in the center,1.0
saucy,crispy,0.2
cauliflower,zucchini,0.2
golden brown,white,0.1
scattered across,arranged,0.2
plate,plate,1.0
golden-brown,golden-brown,1.0
wontons,soup,0.3
crispy,crispy,1.0
bowl,bowl,1.0
in the bowl,on a plate,0.2
green,green,1.0
brownish,brown,0.9
on the lower right,in the center,0.2
cilantro,parsley,0.6
tan,brown,0.3
wraps,chips,0.1
corn,mushrooms,0.1
pink,brown,0.1
on the plate,within,0.2
spinach,kale,0.6
yellow,yellow,1.0
orange,orange,1.0
yams,tomatoes,0.1
glistening,coated,0.5
on top of,on a plate,0.5
green,green,1.0
orange,orange,1.0
yams,tomatoes,0.1
scattered,scattered,1.0
white,white,1.0
on a white surface,on a plate,0.7
white,white,1.0
brown,brown,1.0
blueberries,rhubarb,0.1
creamy,creamy,1.0
yogurt,oatmeal,0.2
red,red,1.0
on top,on top of,0.9
blue,white,0.0
raspberries,rhubarb,0.2
blue,white,0.0
ziti,ravioli,0.3
reddish-orange,red,0.7
reddish-brown,golden-brown,0.4
spaghetti,chicken,0.1
throughout the entire pan,scattered across,0.2
yellow,green,0.1
zucchini,zucchini,1.0
black,red,0.0
in the center,in the center,1.0
