reference,hypothesis,gpt_score
dark,brown,0.5
brown,brown,1.0
in a box,on the,0.1
white,on the top,0.0
white,green,0.1
chocolate,chocolate,1.0
brown,brown,1.0
on a plate,in a container,0.2
truffles,enchiladas,0.0
brown,tan,0.7
studded,white,0.0
at the top,in a container,0.1
strawberry-filled,brown,0.0
truffles,enchiladas,0.0
brown,white,0.1
with a darker brown,on top,0.0
circular,spherical,0.8
yellow,yellow,1.0
tuna,cod,0.4
creamy,creamy,1.0
on the top of casserole,to the left,0.0
white,yellow,0.2
white,white,1.0
green,green,1.0
melted,melted,1.0
in a white baking dish,in a rectangular dish,0.6
creamy,creamy,1.0
Turkey,venison,0.1
yellow,yellow,1.0
mushrooms,reddish-brown,0.1
in a dish,in the image,0.2
brownish-orange,red,0.3
turkey,chicken,0.5
scattered,red,0.0
green,brown,0.2
on the surface,red,0.0
white,green,0.1
blueberry,grapes,0.2
golden-brown,rich,0.2
scattered,clustered,0.1
red,dark brown,0.2
square,bowl,0.1
carrots,cabbage,0.2
on top,on top of,0.9
golden-brown,light brown,0.7
veal,venison,0.2
white,white,1.0
on the plate,light brown,0.0
drizzled,drizzled,1.0
white,green,0.1
vegetables,enchiladas,0.0
red,green,0.1
on a plate,in the dish,0.7
brown,gold,0.1
Wellington,enchiladas,0.0
dark blue,white,0.0
green,yellow,0.2
vegetables,poppers,0.1
scattered,yellow,0.0
on a black grill pan,on the,0.1
glazed,translucent,0.3
reddish-brown,dark,0.2
around the base,on top of,0.2
blackberries,blueberries,0.5
brown,dark,0.3
venison,chicken,0.1
gravy,dark,0.1
green,green,1.0
on the plate,on a white plate,0.9
golden-brown,dark,0.2
venison,chicken,0.1
on a plate,of the plate,0.5
overlapping,piled,0.2
salad,salad,1.0
green,green,1.0
in the salad,on top of,0.2
blueberries,cherries,0.3
brown,yellowish-green,0.2
reflecting,is,0.0
pitcher,jar,0.2
vinaigrette,vinaigrette,1.0
in the foreground,in the center,0.5
vinaigrette,vinaigrette,1.0
wooden,wooden,1.0
yellow-brown,reddish-pink,0.2
jar,dark,0.0
wooden,wooden,1.0
on a wooden surface,on a wooden surface,1.0
green,green,1.0
scattered,scattered throughout,0.9
red,red,1.0
tomato,tomato,1.0
above the middle,on the right,0.2
golden-brown,brown,0.7
waffles,hash browns,0.2
white,green,0.1
darker,brown,0.5
on a white plate,on a plate,0.8
golden,golden-brown,0.8
brown,red,0.2
on the left,golden-brown,0.0
red,red,1.0
waffle,bread,0.5
red,brown,0.4
on the waffle,on each piece,0.2
green,on top,0.0
Awesome,vibrant,0.4
Walleye,Flounder,0.1
tan,golden-brown,0.2
red,on the rim,0.0
watermelon,watermelon,1.0
white,green,0.1
on top,on top,1.0
green,green,1.0
pink,tan,0.2
watermelon,lemon,0.2
red,red,1.0
clear,tan,0.1
orange,green,0.1
wedges,wedges,1.0
golden-brown,brown,0.7
on plate,on the plate,0.9
herbs,seasoned,0.5
brown,reddish-brown,0.8
white,reddish-brown,0.1
fries,reddish-brown,0.1
orange,watermelon,0.2
glasses,glasses,1.0
amber,amber,1.0
on the tray,on a white tray,0.8
metallic,wooden,0.0
wings,above the omelet,0.1
orange,above the omelet,0.0
in the center,in the bowl,0.2
saucy,glossy,0.3
cauliflower,eggplant,0.2
golden brown,orange-red,0.4
scattered across,piled,0.1
plate,bowl,0.6
golden-brown,golden-brown,1.0
wontons,soup,0.2
crispy,golden-brown,0.6
bowl,golden-brown,0.1
in the bowl,in the broth,0.6
green,light green,0.8
brownish,brown,0.9
on the lower right,on top,0.1
cilantro,parsley,0.7
tan,light brown,0.3
wraps,stacked,0.2
corn,artichokes,0.1
pink,pork,0.2
on the plate,on the left side,0.2
spinach,beans,0.2
yellow,light yellow,0.8
orange,orange,1.0
yams,eggplant,0.2
glistening,orange,0.0
on top of,with pistachios,0.0
green,light green,0.8
orange,orange,1.0
yams,garlic,0.1
scattered,purple,0.0
white,orange,0.1
on a white surface,on the plate,0.4
white,white,1.0
brown,beige,0.6
blueberries,white,0.0
creamy,yogurt,0.5
yogurt,granola,0.2
red,light-beige,0.1
on top,on the left,0.2
blue,brown,0.1
raspberries,blueberries,0.5
blue,white,0.1
ziti,fettuccine,0.2
reddish-orange,red,0.7
reddish-brown,brown,0.7
spaghetti,grits,0.1
throughout the entire pan,yellow,0.0
yellow,green,0.2
zucchini,white,0.0
black,sprinkled,0.0
in the center,in the center,1.0
