Image,Question,Answer
48d0bd260ec498a,Where is the sprig of fresh oregano placed,on top of
48d0bd260ec498a,What are the three ripe tomatoes situated behind,tomatoes
dec9884031d9195,What color is the blueberry sauce,blue-purple
dec9884031d9195,How does the sauce appear on the sides of the pancakes,dripped
dec9884031d9195,What is the blueberry sauce made of,sauce
dec9884031d9195,What food item is the blueberry sauce on top of,pancakes
dec9884031d9195,Where is the small puddle of sauce located,on top of
0fddf1c9743da82,What color is the Korean BBQ sauce,reddish-brown
0fddf1c9743da82,What is contained within the clear glass jar,sauce
0fddf1c9743da82,What is the clarity of the glass jar,clear
0fddf1c9743da82,Where is the jar positioned in the image,in the lower half
0fddf1c9743da82,What appears coated in the sauce in the background,meat
860b7e6a58ca3f4,Where is the spaghetti sauce located,located
860b7e6a58ca3f4,What type of pasta is shown in the image,spaghetti
860b7e6a58ca3f4,What is the texture of the spaghetti sauce,chunky
860b7e6a58ca3f4,What is on top of the spaghetti,sauce
860b7e6a58ca3f4,Where is the sauce located on the spaghetti in the bottom left bowl,on top of
0d8bd259cfe6bde,What does the cranberry-pineapple sauce do to the pot,fills
0d8bd259cfe6bde,What fruit is used to make the sauce,cranberry
0d8bd259cfe6bde,Where is the pot located,stovetop
0d8bd259cfe6bde,What other fruit is visible in the sauce,pineapple
0d8bd259cfe6bde,Where is the pot positioned in the image,in the center
b5a82c94804a0af,What color is the rice,light brown
b5a82c94804a0af,What is the base of the dish,rice
b5a82c94804a0af,What color are the bell pepper pieces scattered throughout the dish,red
b5a82c94804a0af,Where are the red bell pepper pieces scattered,throughout
b5a82c94804a0af,What color are the broccoli florets,green
a15a09115e2d227,What is the sauce doing to the shredded meat,reddish-brown
a15a09115e2d227,What type of food is coated in the barbecue sauce,meat
a15a09115e2d227,What is formed by the meat and bun,sandwich
a15a09115e2d227,What is the sauce doing down the side of the bun,dripping
a15a09115e2d227,Where is the sandwich located in the frame,in the center
1c7b1e64a0beb12,What color does the pizza sauce appear to be,reddish-brown
1c7b1e64a0beb12,What type of container is the pizza sauce in,jar
1c7b1e64a0beb12,What color is the spoon,gold
1c7b1e64a0beb12,Where is the spoon placed in relation to the jar,on the right side
1c7b1e64a0beb12,What type of sauce is in the jar,pizza sauce
23e515bd3518410,What is to the left of the glass,sandwich
23e515bd3518410,What does the sandwich contain,contains
23e515bd3518410,What color are the peppers in the sandwich,yellow
23e515bd3518410,What type of container is the sauce in,glass
23e515bd3518410,Where is the glass located relative to the sandwich,to the left
a69464ae41d2912,What is the color of the jar,clear
a69464ae41d2912,What type of container is the hot sauce in,jar
a69464ae41d2912,What color is the hot sauce,orange
a69464ae41d2912,Where is the jar placed,on a wooden surface
a69464ae41d2912,What is the color of the hot sauce described as,distinctive
ae846aaa6c15bdf,How does the Super Al's Cocktail Sauce appear,glossy
ae846aaa6c15bdf,What is the shape of the container holding the Super Al's Cocktail Sauce,bowl
ae846aaa6c15bdf,Where are the shrimps positioned relative to the cocktail sauce bowl,surround
ae846aaa6c15bdf,What is the name of the cocktail sauce,Super Al's
ae846aaa6c15bdf,Where is the bowl of cocktail sauce positioned on the plate,in the center
bdb7e0f66bd2540,What color is the bowl that the sauce fills,reddish-brown
bdb7e0f66bd2540,What is the sauce served with,sauce
bdb7e0f66bd2540,What color is the towel under the bowl,blue
bdb7e0f66bd2540,Where is the paintbrush lying,on the end
bdb7e0f66bd2540,What color is the towel the bowl is resting on,white
da153148950faa7,What adjective describes the mixture of the Sauce Vierge,colorful
da153148950faa7,What is one of the main ingredients in the Sauce Vierge,tomatoes
da153148950faa7,How is the Sauce Vierge arranged around the fish,scattered around
da153148950faa7,What color are the diced tomatoes in the sauce,red
da153148950faa7,Where is some of the Sauce Vierge located in relation to the fish,surrounds
6a488e776e1055d,What color is the tomato sauce,red
6a488e776e1055d,What is the sauce contained in,bowl
6a488e776e1055d,Where is the spoon in relation to the sauce,submerged in
6a488e776e1055d,What utensil is used to serve the sauce,spoon
6a488e776e1055d,How does the color of the sauce appear,varies
25bcf41bf729c53,What color is the tomato sauce,orange-red
25bcf41bf729c53,How are the cucumber pieces distributed in the dish,interspersed
25bcf41bf729c53,What vegetable is described as dark green on the outside,cucumber
25bcf41bf729c53,What is the vibrant orange-red component of the dish,sauce
25bcf41bf729c53,Where is the lighter greenish-yellow color of the cucumber pieces located,towards the inside
3b8159bf4985854,What color is the bowl,white
3b8159bf4985854,What is the sauce made of,sauce
3b8159bf4985854,What color are the cranberries in the sauce,red
3b8159bf4985854,What fruit is scattered throughout the sauce,blueberries
3b8159bf4985854,In what is the cranberry-blueberry sauce positioned,in the image
ab533ca546c0a35,What color is the barbeque sauce,reddish-brown
ab533ca546c0a35,What does the barbeque sauce do to the meatballs,coats
ab533ca546c0a35,What food item is coated with the barbeque sauce,meatballs
ab533ca546c0a35,How do the meatballs appear due to the sauce,shiny
ab533ca546c0a35,Where are the meatballs located in the image,on the left side
7f8099e2b67f628,What color is the pizza sauce,reddish-orange
7f8099e2b67f628,What food is the sauce being used for,pizza
7f8099e2b67f628,What is the texture of the pizza sauce,smooth
7f8099e2b67f628,Where is the spoonful of sauce located in the image,in the center
7f8099e2b67f628,What utensil is holding the sauce above the pizza base,spoon
1bbce9b22c5d583,What color is the pizza sauce,red-orange
1bbce9b22c5d583,What type of food is shown in the image,pizza
1bbce9b22c5d583,Where does the pizza sauce extend to,extends
1bbce9b22c5d583,What color is the pizza crust,beige
1bbce9b22c5d583,Where is the pizza crust located in relation to the red sauce,around the red sauce
7cdc99c5ef92214,What type of sauce is in the bowl,vinegar-based
7cdc99c5ef92214,Where is the BBQ sauce contained,bowl
7cdc99c5ef92214,Where is the bowl located,located on
7cdc99c5ef92214,What is scattered within the BBQ sauce,scattered
7cdc99c5ef92214,What does the BBQ sauce contain,contains
ae7023a52c60d61,Where is the spaghetti sauce sitting,sitting
ae7023a52c60d61,What type of pasta is on the plate,spaghetti
ae7023a52c60d61,What color is the spaghetti sauce,red
ae7023a52c60d61,What color are the flecks of cheese on top of the sauce,white cheese
ae7023a52c60d61,Where is the spaghetti placed,across the white plate
69aee1d3ba018ff,What color are the tangerine segments,orange
69aee1d3ba018ff,What is the container used to hold the cranberry sauce and tangerine segments,bowl
69aee1d3ba018ff,What color is the cranberry sauce,red
69aee1d3ba018ff,Where are the whole cranberries placed,on top
69aee1d3ba018ff,What are the three whole cranberries coated with,cranberries
e99ac172e172e9c,What color is the sauce in the jar,dark
e99ac172e172e9c,What is the dark liquid in the jar called,sauce
e99ac172e172e9c,What color is the sauce described as,reddish-brown
e99ac172e172e9c,What is the position of the jar's lid,flipped
e99ac172e172e9c,Where is the jar positioned in the image,in the center-left
c36b2824b30c43f,What is the flavor of the sauce in the bowl,sweet-and-sour
c36b2824b30c43f,What is the dark brown liquid in the bowl called,sauce
c36b2824b30c43f,What color are the small pieces dispersed throughout the sauce,orange
c36b2824b30c43f,What color is the sweet-and-sour orange sauce,brown
c36b2824b30c43f,Where is the sweet-and-sour orange sauce located,within the bowl
b83db9f9dbba52d,What cooking method is used for the dish,stir-fry
b83db9f9dbba52d,What is contained in the clear glass pitcher,sauce
b83db9f9dbba52d,What color is the stir-fry sauce,brown
b83db9f9dbba52d,What does the pitcher partially do to the plate of ingredients behind it,obscures
b83db9f9dbba52d,Where is the pitcher situated in the image,in the foreground
a0f3c5df8678e9c,What color is the peanut sauce,light
a0f3c5df8678e9c,What is the consistency of the peanut sauce,sauce
a0f3c5df8678e9c,What color is the peanut sauce,brown
a0f3c5df8678e9c,Where is the peanut sauce drizzled,across the top
a0f3c5df8678e9c,What is the main food item under the peanut sauce,noodles
696dee0ffc652f2,What type of sauce is covering the rigatoni,Arrabbiata sauce
696dee0ffc652f2,What is the Arrabbiata sauce doing to the rigatoni,covering
696dee0ffc652f2,What type of pasta is in the dish,rigatoni
696dee0ffc652f2,What color are the rigatoni pasta tubes,yellow
696dee0ffc652f2,Where is the Arrabbiata sauce mostly situated,on top of
cba7d2a45873f6e,What color is the tomato sauce,red
cba7d2a45873f6e,What is covering most of the spaghetti strands,sauce
cba7d2a45873f6e,What is the spaghetti coated with,coated
cba7d2a45873f6e,What is the main dish in the image,spaghetti
cba7d2a45873f6e,Where is the large portion of sauce located,on top of
f884ea6a545d51d,What color is the lid of the jar,golden
f884ea6a545d51d,What type of container is the chamoy sauce in,jar
f884ea6a545d51d,What color is the chamoy sauce,reddish-brown
f884ea6a545d51d,Where is the jar of chamoy sauce positioned in relation to the jar of apricot preserves,behind
f884ea6a545d51d,Where is the jar of chamoy sauce positioned in relation to the bottle of ancho chili pepper,next to
7b3c4a82b80006e,What does the sauce do to the serving dish,fills
7b3c4a82b80006e,What is the food item in the image,sauce
7b3c4a82b80006e,What color is the serving dish,white
7b3c4a82b80006e,How does the sauce appear,glossy
7b3c4a82b80006e,Where is the dish located in the image,in the center
fc10a3ee96b29cb,What is the color of the exterior of the Sauerbraten,dark
fc10a3ee96b29cb,What type of meat is shown in the image,Sauerbraten
fc10a3ee96b29cb,What is the color of the gravy on the Sauerbraten,brown
fc10a3ee96b29cb,What is the color of the shredded cabbage on the plate,reddish-purple
fc10a3ee96b29cb,Where is the shredded cabbage placed relative to the Sauerbraten,on the plate
1c00b85749755c0,What color is the beef in the image,brownish-red
1c00b85749755c0,What type of meat is featured in the dish,beef
1c00b85749755c0,How is the beef prepared in the image,cooked
1c00b85749755c0,What color are the carrots in the image,orange
1c00b85749755c0,Where is the cabbage located on the plate,in the top center
2a94adca5cbada6,What color is the beef in the image,reddish-brown
2a94adca5cbada6,What type of meat is shown in the lower left portion of the image,beef
2a94adca5cbada6,What is the beef covered with,coated
2a94adca5cbada6,What color are the egg noodles in the image,yellow
2a94adca5cbada6,Where is the beef located in the image,in the lower left portion
f12be488078ee5d,What color is the meat on the edges,reddish-brown
f12be488078ee5d,What type of food is the sauerbraten,meat
f12be488078ee5d,What color is the plate,white
f12be488078ee5d,Where is the sauerbraten placed,on the plate
f12be488078ee5d,What does the gravy do to the meat slices,covers
bd9bb1c1a13d688,What color is the stew-like liquid,dark brown
bd9bb1c1a13d688,What type of dish is the dark brown liquid,stew
bd9bb1c1a13d688,What color is the cooking pan,light brown
bd9bb1c1a13d688,What color are the tiny pieces scattered throughout the liquid,golden
bd9bb1c1a13d688,Where are the bubbles and steam rising from,from the surface
6af1d273a52141c,What color is the cabbage in the Sauerbraten,red
6af1d273a52141c,What vegetable is included in the Sauerbraten,cabbage
6af1d273a52141c,How are the ingredients in the Sauerbraten presented,arranged
6af1d273a52141c,What color is the beef in the Sauerbraten,brown
6af1d273a52141c,Where are the dumplings located in the Sauerbraten,to the right
7577187637fbc38,What is the dominant color of the dish,creamy
7577187637fbc38,What is the main ingredient in the dish,potato
7577187637fbc38,What color is the dish primarily,yellow
7577187637fbc38,Where are the small black specks distributed,throughout
7577187637fbc38,What cooking method is suggested by the texture and color variations,bake
2aed9e80fd426f1,What is the flavor profile of Sandy's Slow Cooker Sauerkraut described as,sweet
2aed9e80fd426f1,What is the main vegetable ingredient in the dish,sauerkraut
2aed9e80fd426f1,What color is the sauerkraut in the dish,yellowish-white
2aed9e80fd426f1,What type of meat is interspersed within the sauerkraut,sausage
2aed9e80fd426f1,Where is the sauerkraut distributed in the dish,throughout the dish
a66e2138f3534c4,What color is the sauerkraut,yellowish-brown
a66e2138f3534c4,What is the name of the food on the left side of the plate,sauerkraut
a66e2138f3534c4,What is the appearance of the sauerkraut,translucent
a66e2138f3534c4,Where is the sauerkraut placed on the plate,on the left side
a66e2138f3534c4,What shape does the sauerkraut form,mound
152f6f11df2b835,What color are the noodles,yellow
152f6f11df2b835,What type of noodles are visible in the dish,noodles
152f6f11df2b835,What color is the ground beef,browned
152f6f11df2b835,Where are the noodles located in the dish,in the bottom
152f6f11df2b835,What is distributed across the top of the dish,sauerkraut
9ab4e1e0b9e3538,What color is the sauerkraut in the bowl,yellowish-white
9ab4e1e0b9e3538,What is the sauerkraut doing in the bowl,forming
9ab4e1e0b9e3538,What is the sauerkraut placed in,bowl
9ab4e1e0b9e3538,What color are the smokies,brownish-red
9ab4e1e0b9e3538,Where is the smokie located in the bowl,in the bottom-left
4705883716afcd0,What color is the bread dough,light
4705883716afcd0,What is the base of the squares made of,bread
4705883716afcd0,What color is the sauerkraut topping,yellow
4705883716afcd0,Where is the sauerkraut located,on bread
4705883716afcd0,What shape are the pieces of bread dough,squares
8c5355f2b063420,What color is the sauerkraut in the image,yellow
8c5355f2b063420,What type of cabbage dish is shown in the image,sauerkraut
8c5355f2b063420,What is the texture of the sauerkraut in the image,shredded
8c5355f2b063420,What color are the sausages in the image,reddish-brown
8c5355f2b063420,Where are the sausages placed in the image,on top of
a712f8511e9de52,What is the name of the dish that is reddish-orange,Sauerkraut
a712f8511e9de52,Where is the Sauerkraut a la France located on the plate,located on the right side
a712f8511e9de52,What is the Sauerkraut a la France mixed with,mixed
a712f8511e9de52,What type of food is mixed with the Sauerkraut a la France,meat
a712f8511e9de52,What color is the rice on the plate,white
6ff6e88c15acbce,Where is the sauerkraut located,located
6ff6e88c15acbce,What type of food is shown in the image,sauerkraut
6ff6e88c15acbce,What color is the container holding the sauerkraut,blue
6ff6e88c15acbce,What color are the strands of sauerkraut,yellow
6ff6e88c15acbce,Where is the sauerkraut positioned in the image,in the center
4a5e47bf8dbc7bf,What color is the sauerkraut described as,pale
4a5e47bf8dbc7bf,What is the sauerkraut served in,bowl
4a5e47bf8dbc7bf,What is happening to the sauerkraut in the bowl,spilling
4a5e47bf8dbc7bf,What color is the bowl and plate,white
4a5e47bf8dbc7bf,Where are the sausages located relative to the bowl,to the left
0e0e1fe21fbe008,What color are the tomato pieces in the soup,colorful
0e0e1fe21fbe008,What type of dish is being described,soup
0e0e1fe21fbe008,What color is the broth of the soup,brownish
0e0e1fe21fbe008,Where are the tomato pieces located in the soup,on the top
0e0e1fe21fbe008,What color are the spinach leaves in the soup,green
0c811af8e3c01f1,What color are the Italian sausage pieces,brownish-tan
0c811af8e3c01f1,How are the Italian sausage pieces arranged among the pasta,interspersed
0c811af8e3c01f1,What vegetable is light green and yellow,zucchini
0c811af8e3c01f1,What color are the zucchini pieces,green
0c811af8e3c01f1,How are the zucchini pieces spread throughout the image,distributed
baf79c3fcc943b0,What color is the rice in the dish,white
baf79c3fcc943b0,What color are the sausage slices in the dish,reddish-brown
baf79c3fcc943b0,How are the sausage slices distributed in the dish,scattered
baf79c3fcc943b0,What color are the red bell pepper pieces in the dish,red
baf79c3fcc943b0,Where is the red bell pepper piece located in the dish,to the right side of
c18c7af8973597d,What is the primary color of the chicken breast,tan
c18c7af8973597d,What type of meat is on the plate,chicken
c18c7af8973597d,Where does the chicken sit on the plate,sits
c18c7af8973597d,What color is the puree under the chicken,orange
c18c7af8973597d,Where is the chicken placed on the plate,on the plate
f3f8edb9d546f31,What color are the sausage pieces,brownish-orange
f3f8edb9d546f31,What type of meat is shown in the image,sausage
f3f8edb9d546f31,What color are the peppers,red
f3f8edb9d546f31,Where are the sausage pieces primarily located,in the left half
f3f8edb9d546f31,What is the main ingredient on the right side of the image,rice
637f7ad94610e1a,What color are the Vikki's Red Bean Sausage slices,red
637f7ad94610e1a,Where are the Vikki's Red Bean Sausage slices located in the image,located in
637f7ad94610e1a,What type of beans are in the dish,beans
637f7ad94610e1a,What color are the red beans in the dish,reddish-brown
637f7ad94610e1a,How are the red beans distributed in the dish,scattered
c98ebbb86dcbc2a,What is the cooking method used for the sausages,slow
c98ebbb86dcbc2a,What type of meat is used in the sandwiches,sausage
c98ebbb86dcbc2a,What color is the skin of the sausages,brown
c98ebbb86dcbc2a,What color is the tomato-based sauce,red
c98ebbb86dcbc2a,Where is the red sauce splattered,on a plate
3cf79a2394c9a17,What color are the sausage pieces,pinkish-red
3cf79a2394c9a17,What type of meat is shown in the image,sausage
3cf79a2394c9a17,What color are the small pieces interspersed within the kraut,orange
3cf79a2394c9a17,Where is the kraut located in relation to the sausage pieces,surrounds
3cf79a2394c9a17,Where are the small pieces of orange located in the dish,in between
f4c5c78433d6d23,What color is the wrapper of the sausage flowers,golden-brown
f4c5c78433d6d23,What are the edible items shaped like flowers in the image,sausage flowers
f4c5c78433d6d23,What color is the sausage mixture inside the flowers,brownish-orange
f4c5c78433d6d23,Where are the green scallions placed,sprinkled over
f4c5c78433d6d23,What is the color of the tray holding the sausage flowers,silver tray
0f4169610c6b102,What type of meat is used in the dish,sausage
0f4169610c6b102,What color is the sausage,reddish-brown
0f4169610c6b102,What shape is the bowl,in a leaf-shaped bowl
0f4169610c6b102,How was the sausage cooked,grilled
0f4169610c6b102,What fruit is mixed with the sausage,pineapple
2d0ecae29140c09,What color is the chicken sausage,brown
2d0ecae29140c09,What type of food is shown in the image,sausage
2d0ecae29140c09,What color is the plate,white
2d0ecae29140c09,What is the shape of the sausage patties,irregular
2d0ecae29140c09,Where are the sausage patties placed,on a white square plate
b4289b25fb0ba88,What color is the exterior of the sausage,reddish-brown
b4289b25fb0ba88,What type of meat is featured in the dish,sausage
b4289b25fb0ba88,What color are the potatoes,yellow
b4289b25fb0ba88,What is the sauce doing to the ingredients,filling
b4289b25fb0ba88,Where are the sausage slices primarily located,throughout the upper half
1d34d615654448c,What type of sausages are shown in the image,sausages
1d34d615654448c,What color are the sausages in the image,pinkish-brown
1d34d615654448c,Where are the sausages placed in the image,in a bowl
1d34d615654448c,How are the sausages arranged in the bowl,piled
1d34d615654448c,What specific type of sausages are shown in the image,Andouille
f295a10207e1ef5,What color are the sausages,brown
f295a10207e1ef5,How are the sausages arranged,arranged
f295a10207e1ef5,What is the color of the onion pieces,onion
f295a10207e1ef5,What color are the onion pieces,white
f295a10207e1ef5,Where are the onion pieces located,in color
b0f3c539c3eeb73,What is the shape of the sausage cheese balls,spherical
b0f3c539c3eeb73,What are the brown and orange items on the plate called,balls
b0f3c539c3eeb73,What color are the sausage cheese balls,brown
b0f3c539c3eeb73,Where are the sausage cheese balls placed,on a plate
b0f3c539c3eeb73,What is inserted into each sausage cheese ball,inserted
b058e0aa19cde36,What is the color of the sausage slices,light
b058e0aa19cde36,What type of meat is used in the dish,sausage
b058e0aa19cde36,What color are the vibrant peppers in the dish,red
b058e0aa19cde36,Where are the sausage and peppers placed,on a plate
b058e0aa19cde36,What vegetables are mixed in with the sausage,peppers
8a6c4ac05e25d74,What color is the central sausage patty,brown
8a6c4ac05e25d74,What type of food is featured in the image,sausage
8a6c4ac05e25d74,How does the surface of the central patty appear,glistening
8a6c4ac05e25d74,Where are the sausage patties placed,on a grill
8a6c4ac05e25d74,What color is the small flame below the central patty,orange
23122af2da4264d,What color is the sausage,reddish-brown
23122af2da4264d,What type of meat is in the dish,sausage
23122af2da4264d,What color is the Alfredo sauce,white
23122af2da4264d,What color are the peas,green
5f34e27730c709d,What is the flavor profile of the sausage,spicy
5f34e27730c709d,Where is the sausage located,bowl
5f34e27730c709d,What color is the sausage,reddish-brown
5f34e27730c709d,How is the sausage distributed in the dish,mixed in with
5f34e27730c709d,What is sprinkled on top of the dish,sprinkled
d9e9de1236f48ed,How is the sausage cut,sliced
d9e9de1236f48ed,What type of meat is used in the dish,sausage
d9e9de1236f48ed,What color are the broccoli florets,green
d9e9de1236f48ed,What color are the bell pepper slices,red
d9e9de1236f48ed,Where is the cheese located in the dish,over the ingredients
28d04b8e671301e,What color are the bits of fat in the sausage,pinkish-red
28d04b8e671301e,Where is the sausage located in the image,located in
28d04b8e671301e,What is the name of the seasoning used for the sausage,seasoning
28d04b8e671301e,What color is the ramekin containing the seasoning,white
28d04b8e671301e,What is the seasoning described as,mix
c125438374cf4db,What color are the Buzzard's Bay Bourbon Scallops,beige
c125438374cf4db,What type of seafood is shown in the image,scallops
c125438374cf4db,What are the small flecks on the scallops,pepper
c125438374cf4db,What color is the sauce in the image,brownish-orange
c125438374cf4db,Where is the brownish-orange sauce located,around and between
411588f3e90b020,What color are the scallops primarily described as,creamy
411588f3e90b020,What type of seafood is featured in the dish,scallops
411588f3e90b020,What color is the arugula described as,white
411588f3e90b020,Where are the scallops located in relation to the lentils and arugula,on top of
411588f3e90b020,What color is the arugula,green
c55b50bf2384e0b,What color are the bay scallops,white
c55b50bf2384e0b,What is the dish served in,dish
c55b50bf2384e0b,What color are the tomatoes,red
c55b50bf2384e0b,How are the tomatoes arranged in the dish,arranged
c55b50bf2384e0b,Where are the green and brown olives placed,along the top
2a70123506b2a74,What color are the searing marks on the scallops,golden-brown
2a70123506b2a74,How are the scallops cooked to achieve the golden-brown color,searing
2a70123506b2a74,What is the base color of the scallops,white
2a70123506b2a74,What is the texture of the scallops described as,glossy
2a70123506b2a74,Where is the scallop with the golden-brown searing marks located,in the front
2fe8ad8554842bc,What color is the rice in the dish,white
2fe8ad8554842bc,What is the base of the dish made of,rice
2fe8ad8554842bc,What color are the carrot sticks in the dish,orange
2fe8ad8554842bc,How are the carrot sticks arranged in the dish,scattered
2fe8ad8554842bc,What is the dish coated in,in the sauce
bb74d072bf85d2b,What color is the top of the scallops,golden-brown
bb74d072bf85d2b,What type of seafood is shown in the image,scallops
bb74d072bf85d2b,Where are the scallops cooked,skillet
bb74d072bf85d2b,What color is the bottom portion of the scallops,yellowish-white
bb74d072bf85d2b,Where are the scallops arranged,in a skillet
36759ac62e80efa,What color is the plate,white
36759ac62e80efa,What type of seafood is on the plate,scallops
36759ac62e80efa,What color are the top surfaces of the scallops,brown
36759ac62e80efa,What color is the jalapeno vinaigrette,green
36759ac62e80efa,Where is the jalapeno vinaigrette drizzled,on top
b03fd7734dcd1f9,What is the color of the scallops,creamy
b03fd7734dcd1f9,What type of dish is served alongside the scallops,pasta
b03fd7734dcd1f9,What color is the pasta,white
b03fd7734dcd1f9,Where is the toast located in the image,on the side
b03fd7734dcd1f9,What is sprinkled throughout the dish,sprinkled
70ed510f971a5b3,What color are the scallops,are
70ed510f971a5b3,What type of seafood is on the plate,scallops
70ed510f971a5b3,What color are the scallops,reddish-brown
70ed510f971a5b3,Where are the scallops located,on top of
70ed510f971a5b3,What color is the lettuce,green
1e67fb1e765d350,What color are the scallops on the top and sides,golden-brown
1e67fb1e765d350,What is the base of the dish located under the scallops,pasta
1e67fb1e765d350,Where are the scallops positioned in the dish,located on top
1e67fb1e765d350,What is the texture of the mascarpone on the pasta,coating
1e67fb1e765d350,What color is the mascarpone sauce,white
eb95d734642612e,What color are the sear marks on the scallops,browned
eb95d734642612e,What is the overall color of the scallops,tan
eb95d734642612e,Where is one scallop placed in relation to another,stacked atop
eb95d734642612e,What spice is visible on the scallops,pepper
eb95d734642612e,What color is the white wine sauce,yellow
9bd08326c8f333a,What is the color of the sauce on the spaghetti,creamy
9bd08326c8f333a,What type of pasta is in the bowl,spaghetti
9bd08326c8f333a,What color is the bowl,green
9bd08326c8f333a,Where is the creamy bay scallop spaghetti placed,in a green bowl
9bd08326c8f333a,What color is the grated cheese on the dish,white
b332754fe8be333,What color is the plate,white
b332754fe8be333,What type of seafood is featured in the image,scallops
b332754fe8be333,What is the predominant color of the bacon,reddish-pink
b332754fe8be333,Where are the scallops arranged,on a plate
b332754fe8be333,What is the bacon doing to the scallops,securing
f478cd720c85d58,What color are the scallops,golden-brown
f478cd720c85d58,What type of seafood is in the pan,scallops
f478cd720c85d58,What is the cooking vessel used for the scallops,pan
f478cd720c85d58,Where are the scallops arranged in the pan,across the pan
f478cd720c85d58,What is happening to the oil around the scallops,bubbling
c29509a4da31bde,What color are the basil leaves,dark green
c29509a4da31bde,What is the main item being served,dish
c29509a4da31bde,What color are the pan-seared scallops,beige
c29509a4da31bde,Where are the basil leaves located,on the left
c29509a4da31bde,What color is the halved cherry tomato,red
01cc360265769e8,What color is the seared top of the scallops,golden-brown
01cc360265769e8,What type of seafood is on the plate,scallops
01cc360265769e8,What color is the plate,white
01cc360265769e8,Where is the scallop with the golden-brown seared top located,on the left
01cc360265769e8,What color are the parsley sprigs,green
c2e0b5a027a18c3,What are the puff pastry shells filled with,are filled
c2e0b5a027a18c3,What shape are the pastry shells,shells
c2e0b5a027a18c3,What color is the plate,white
c2e0b5a027a18c3,Where are the puff pastry shells placed,on a white plate
c2e0b5a027a18c3,What color are the herbs in the filling,green
f40a383b77fecbe,What color is the main body of each scallop,white
f40a383b77fecbe,What type of seafood is featured in the image,scallops
f40a383b77fecbe,What color is the glossy sauce on the scallops,brown
f40a383b77fecbe,How does the sauce on the scallops appear,glossy
f40a383b77fecbe,Where are the scallops positioned in the frame,towards the top
8bf84afac0b46f3,What color is the rice,white
8bf84afac0b46f3,What type of seafood is shown,scallops
8bf84afac0b46f3,What color are the seared surfaces of the scallops,brown
8bf84afac0b46f3,Where are the scallops arranged,on a bed
8bf84afac0b46f3,How are the parsley leaves distributed,scattered
f2a30aa0a508ef0,What is the color of the fettuccine pasta,light
f2a30aa0a508ef0,What type of pasta is in the dish,pasta
f2a30aa0a508ef0,What color are the bay scallops,white
f2a30aa0a508ef0,Where are the bay scallops located,towards the top
f2a30aa0a508ef0,What is the appearance of the bay scallops' edges,toasted
689addcff40353c,What is the texture of the base of the scallops,creamy
689addcff40353c,What type of seafood is featured in the image,scallops
689addcff40353c,What color are the pepper strips under the scallops,red
689addcff40353c,Where is the second scallop placed,on a bed
689addcff40353c,What is scattered around the plate as decoration,garnish
206c27ae8d804dd,Where is the Jaeger Schnitzel located on the plate,located on
206c27ae8d804dd,What is the name of the dish that is golden-brown,schnitzel
206c27ae8d804dd,What is the color of the gravy on the schnitzel,gravy
206c27ae8d804dd,What color is the cabbage beside the schnitzel,red
206c27ae8d804dd,How does the red cabbage appear to be prepared,cooked
f57776f6d6568a9,What color are the schnitzels,golden brown
f57776f6d6568a9,What type of food is shown in the image,schnitzels
f57776f6d6568a9,Where is the origin of the schnitzels,Vienna
f57776f6d6568a9,Which schnitzel is lighter in color,lighter
f57776f6d6568a9,Where are the schnitzels located in the image,in the bottom left
5f76df4afb177f8,What color is the bun,brown
5f76df4afb177f8,What is on top of the schnitzel sandwich,bun
5f76df4afb177f8,What color is the mustard,yellow
5f76df4afb177f8,What is the schnitzel partly covered by,covered by lettuce
5f76df4afb177f8,What color are the cherry tomatoes,red
1e2f6de67b6cc8c,What color are the edges of the schnitzel,browned
1e2f6de67b6cc8c,What type of dish is shown in the image,schnitzel
1e2f6de67b6cc8c,What does the sauce do to the schnitzel,covers
1e2f6de67b6cc8c,What color are the herbs on the schnitzel,green
1e2f6de67b6cc8c,Where are the green herbs located,on its surface
03544ddbcdab62c,What color are the schnitzels,golden brown
03544ddbcdab62c,What type of dish is shown in the image,schnitzels
03544ddbcdab62c,What color is the plate,white
03544ddbcdab62c,Where is the upper schnitzel positioned relative to the lower one,to the left
03544ddbcdab62c,What fruit is placed next to the schnitzels,lemon
834be206a0e6657,What color is the chicken schnitzel,golden-brown
834be206a0e6657,What type of meat is shown in the image,chicken
834be206a0e6657,What color is the lemon slice,yellow
834be206a0e6657,Where is the chicken schnitzel placed,on the plate
834be206a0e6657,What are the green flecks on the chicken schnitzel,herbs
9301cf6814ba44a,What color is the schnitzel,golden-brown
9301cf6814ba44a,What type of dish is shown in the image,schnitzel
9301cf6814ba44a,What color is the salad,green
9301cf6814ba44a,Where are the lemon wedges placed,to the left of
9301cf6814ba44a,What is the schnitzel placed on,plate
251e7c3fe51534b,What is the main dish on the plate,schnitzel
251e7c3fe51534b,What is the texture of the mushroom sauce,creamy
251e7c3fe51534b,What type of vegetable is visible in the sauce,mushroom
251e7c3fe51534b,What vegetable is beside the schnitzel,broccoli
251e7c3fe51534b,Where is the broccoli located on the plate,on the plate
0e351f4f9e2b1bf,Where is the Jägerschnitzel located in the image,located in
0e351f4f9e2b1bf,What is the name of the dish in the image,Jägerschnitzel
0e351f4f9e2b1bf,What is the color of the mushroom sauce,mushroom
