Image,Question_2,Answer_2,Question_3,Answer_3,Question_4,Answer_4,Question_5,Answer_5,Question_6,Answer_6
b234936b6736b56,What color are the diced carrots and bell peppers in the salad?,white,What type of dish is the Mediterranean Rice Salad with Vegetables?,salad,How are the ingredients in the salad arranged?,distributed throughout,What color are the diced bell peppers and carrots in the salad?,orange,How would you describe the overall appearance of the salad??,appetizing
4b419d2ebca6fb0,What is the main ingredient in the dish?,rice,What color is the rice in the dish?,light brown,How are the ingredients arranged in the dish?,scattered throughout,How are the ingredients combined in the dish?,mixed,What color are the diced tomatoes in the dish??,red
eba2a968bc89a76,What color is the rice?,golden-yellow,What type of grain is shown in the image?,rice,How is the rice arranged in the image?,piled,What is the appearance of the rice grains?,glistening,Where is the rice positioned in the image??,to the upper right
f91ed79fa1b5770,What color is the rice in the image?,brown,What is the main food item in the image?,rice,How is the rice arranged in the bowl?,filling,What color are the herbs sprinkled on the rice?,green,Where is the bowl located in the image??,to the left
d965d50ba6a6c3f,What does the sushi rice do to the bowl?,fills,What type of food is in the bowl?,sushi,What color is the bowl?,gray,What is the sushi rice in?,bowl,Where is the bowl positioned??,in the upper-left
6040923513d1dd0,What color is the bowl?,green,What is the primary color of the rice?,rice,What is the texture of the rice?,white,How is the rice described in terms of its appearance?,fluffy,Where are the flecks of green cilantro located??,within the rice
d25339808c65207,What is the rice doing in the bowl?,filling,What type of rice is shown in the image?,rice,What color is the bowl that contains the rice?,blue,What color are the darker pieces mixed in the rice?,brown,Where is the cinnamon stick located??,in the rice
aa787be93801e4f,What is the main food in the image?,rice,What does the rice do in the frame?,fills,What is the pot made of?,silver,What material is the spoon made of?,wooden,Where are the green herbs located??,throughout
f798b6367a29bcc,What color is the rice?,bright,What type of grain is shown in the image?,rice,What color is the bowl?,white,Where is the rice located in the image?,in the image,What is the texture of the rice??,fluffy
fa8e08ad52a63d0,How are the sushi rolls arranged?,arranged,What type of food is shown in the image?,sushi,What color is the carrot filling in the sushi?,orange,What is inside the sushi rolls?,fillings,Where are some of the sushi rolls placed??,on top of
40359a18cf72e3f,What is the sushi rice served in?,bowl,How does the sushi rice appear in terms of transparency?,translucent,What is sprinkled on top of the sushi rice?,sprinkled,What type of grain is in the bowl?,rice,Where is the bowl of sushi rice located in the image??,in the foreground
2d8ca57f6dae947,What is the predominant color of the rice?,light,What is the main ingredient in the dish?,rice,What color is the bowl?,blue,What color are the peas?,green,Where is the fried rice served??,in a light blue bowl
457f7109fbb8c46,What color are the diced carrots?,yellow,What is the main grain in the dish?,rice,What color are the broccoli florets?,orange,What color are the vegetables mixed with the rice?,green,What shape is the dish served in??,in a mound
07cbe7ebbe9e1d8,How are the rice grains arranged in the image?,scattered,What is the main ingredient in the dish besides beans?,rice,What process has caused some rice grains to turn light brown?,cooking,What color are the kidney beans in the dish?,red,Where are the red kidney beans located in the dish??,within the rice
ef0268d8946f647,What color is the plate?,white,What is the main ingredient of the dish?,rice,What color are the carrot pieces?,orange,Where are the carrot pieces located?,with,How are the black sesame seeds distributed??,scattered
30e6cbae71e1650,What color is the rice?,beige,What is the main ingredient in the bowl?,rice,What color are the pineapple pieces?,yellow,Where are the cilantro leaves placed?,on top of,What color are the cilantro leaves??,green
91d15e91f099a71,What is the color of the steamed rice?,tan,What is the main grain used in the dish?,rice,How is the bok choy arranged on the rice?,scattered,What is the color of the bok choy?,green,Where is the bok choy placed on the rice??,on top
d8053ffdc1bb01e,What is the color of the basmati rice?,white,What type of rice is shown in the image?,rice,What color are the peas in the rice?,green,How are the cumin seeds distributed in the rice?,scattered,What is the basmati rice mixed with??,with rice
1c4b8cc7ce28a74,What is the primary color of the rice?,white,What is the main grain used in the dish?,rice,What color are the corn kernels?,yellow,What color are the peas and beans?,green,Where are the vegetables located in the dish??,throughout the rice
d773c4a6544d470,What is the main color of the rice?,white,What type of food is mostly white with a slight yellow tint?,rice,What color are the peas and herbs scattered throughout the rice?,green,Where are the cashew nuts placed?,on top,What color are the corn kernels visible in the rice??,yellow
5cfa28f42c2f71e,What is the color of the edges of the cauliflower rice?,browned,What is the main ingredient in the base of the dish?,rice,How are the garden vegetables arranged in the dish?,scattered,What color are the sliced carrots in the dish?,orange,Where is the sprig of parsley located??,on the right
9e27cab99d289ca,What color are the scattered specks in the rice?,white,What color is the mint sprig in the dish?,scattered,What is the mint sprig doing to the dish?,green,Where does the mint sprig appear in the frame?,adding to,How do the rice grains appear in the dish??,appear
b9e13ac6972aa95,What color is the rigatoni pasta?,light,What type of food is the main dish?,pasta,What color is the sauce coating the pasta?,reddish-orange,Where is the pasta located?,in the bowl,What ingredient is tan and brown and scattered amongst the pasta??,mushrooms
cfdc768302b7eef,What color is the baked rigatoni?,golden-yellow,What type of pasta is shown in the image?,rigatoni,What color are the tomato patches in the dish?,red,What is the state of the cheese on the rigatoni?,melted,Where is the pasta mainly situated in the image??,in the center
319d17a3b5530f3,How does the rigatoni pasta appear in the image?,stacked,What type of food is the pale yellow item?,pasta,What is the light brown item mixed with the pasta?,chicken,What color are the sun-dried tomatoes?,red,Where are the sun-dried tomatoes located in the dish??,around the dish
c42e1668efa9515,What color are the Pancetta pieces?,reddish-brown,What is the container for the pasta and vegetables?,bowl,What color are the peas and green beans?,green,What does the Primavera dish consist of?,consists,Where are the Pancetta pieces located in relation to the pasta??,on top of
186d411186ddab9,What color is the bowl?,white,What is the pasta served in?,bowl,What color is the meat sauce?,brown,Where is the shredded parmesan cheese located?,over the pasta,What color are the basil leaves??,green
222bb1831efad94,What color is the tomato-based sauce?,reddish-orange,What type of food is the main dish?,pasta,What color is the bowl?,white,Where are the specks of dark green basil scattered?,scattered,Where does the sauce pool slightly??,at the bottom
e658698ce178c2f,What color are the broccoli florets?,green,What vegetable is mentioned in the description?,broccoli,Where are the broccoli florets located in relation to the pasta?,located on top of,What color is the plate?,white,"What is the fine, white powder on the pasta and broccoli??",dusted
6c4915e6e42b776,What color is the plate?,white,What type of pasta is used in the dish?,rigatoni,What color are the rigatoni pasta pieces?,golden-yellow,Where is the vodka rigatoni placed?,on a white plate,What color are the peas in the dish??,green
2165e2a602eec0a,What color is the plate the rigatoni is served on?,white,What type of pasta is used in the dish?,rigatoni,What color is the rigatoni pasta?,beige,What color is the tomato-based sauce mixed with the rigatoni?,orange-red,Where is the small bunch of green rosemary located??,to the right of
0cb5f377c6b7ad8,What color is the rigatoni pasta?,light,What type of pasta is shown in the image?,pasta,What color are the tomatoes in the dish?,red,What color is the eggplant in the dish?,brownish-purple,Where is the brown bread located in the image??,on the top
4a4f5ace9d19d65,What color are the asparagus stalks?,green,What is the risotto served in?,bowl,How are the asparagus pieces arranged in the risotto?,scattered,What is the risotto?,is,Where is the bowl placed??,on a wooden surface
5a226231a4a01d8,What type of ingredient is scattered throughout the risotto?,mushroom,How is the mushroom risotto presented?,served,What is the primary color of the mushroom risotto?,off-white,What color are some of the mushrooms in the risotto?,brown,Where are the small specks of green herbs located??,on top
ada36d9358d1674,What type of dish is located in the center of the plate?,risotto,Where is the risotto located on the plate?,located,What is the color of the risotto?,bright,What is the primary color of the risotto?,yellow,What part of the plate is the risotto placed on??,in the center
2b74d1e6dab2d28,What color is the pesto risotto?,green,How are the cannellini beans distributed in the dish?,scattered,What type of beans are used in the dish?,beans,What color are the tomatoes in the dish?,red,Where is the poached egg placed in the dish??,on the egg
6439dd7f4783db2,What color is the spaghetti in the dish?,yellow,What type of pasta forms the base of the dish?,spaghetti,What is interspersed within the spaghetti in the dish?,risotto,How are the small pieces of risotto distributed in the dish?,scattered throughout,What is the dish topped with??,topped
59f4c3f9a0c8e8c,What color is the plate?,white,What type of dish is shown in the image?,risotto,What is the texture of the risotto?,creamy,What color is the risotto?,beige,What shape is the plate??,on a square white plate
ec3968797e96633,What is the primary color of the rice grains?,light tan,What is the main ingredient in the dish?,rice,How are the green peas distributed in the risotto?,scattered,What color are the peas and green onions in the dish?,green,Where are the dark green leaves positioned??,on top of
7049a939657c566,What color is the rice in the risotto?,yellow,What vegetable is scattered throughout the risotto?,broccoli,Where are some of the broccoli florets located?,submerged in,What is the risotto served in?,bowl,How are the broccoli florets distributed in the risotto??,scattered
749d614da15910f,What color is the butternut squash risotto?,light-yellow,What is the risotto doing in the bowl?,filling,"What type of dish is the creamy, light-yellow food?",risotto,What is the white garnish on the risotto?,cheese,Where is the small bowl of grated cheese located??,in the upper right corner
e265ac4aa175f39,What is the color of the risotto?,creamy,What type of dish is this?,seafood,Are the mussels visible in the risotto?,visible,What color are the mussels?,tan,Are there any green herbs in the dish??,green
f7b69dd310e7f67,What type of dish is located in the center of the plate?,risotto,How are the pieces of shrimp arranged in the risotto?,scattered,What color are the shrimp pieces in the risotto?,pink,What color are the peas mixed into the risotto?,green,Where is the light green garnish placed on the risotto??,in the center
cf9cd22d83b4e07,What is the texture of the risotto?,creamy,What type of dish is shown in the image?,risotto,What color is the risotto base?,white,What color are the specks in the risotto?,green,What is the risotto served in??,in a white bowl
f1f876728da312b,What color is the risotto?,yellow,How is the risotto shaped in the bowl?,mounded,What type of meat is sprinkled in the risotto?,pancetta,What color is the pancetta?,red,Where is the pancetta located??,on top
4768472460dffad,What color is the risotto?,golden,How are the ingredients arranged in the pan?,mixed,What type of meat is included in the dish?,chicken,What color are the asparagus spears?,green,Where are the asparagus spears located??,within the mixture
c43bc5ef28bce27,What color is the bowl?,white,What dish is being described?,risotto,What color is the risotto?,brownish-tan,Where is the shredded cheese?,on top of,What vegetable is visible in the risotto??,zucchini
2c73fa992d8b66a,What color is the risotto?,yellow,What dish is being described in the image?,risotto,What color is the shredded cheese on the risotto?,white,How are the chanterelle mushrooms arranged around the risotto?,arranged,Where is the shredded cheese present on the plate??,on the plate
ebb09d3491688e4,What does the risotto do in the bowl?,fills,What type of dish is being described?,risotto,What color is the risotto?,beige,What color is the fennel sprig?,green,Where is the fennel sprig located??,near the center
e4a7de0116e9365,What is the base of the risotto made of?,rice,How are the green peas arranged in the dish?,scattered,What color are the diced carrots?,green,Where are the diced carrots located in the image?,orange,What color are the other vegetables in the dish??,throughout the image
db065608ba761f0,What color is the oat risotto?,beige,What type of dish is the beige food?,risotto,What is the risotto covered with?,covered,What is sprinkled over the risotto?,cheese,Where are the artichoke hearts located??,to the left
d0af628ffb3bebe,What is the color of the chicken pieces?,light,What is the dish in the image?,risotto,What color are the sausage slices?,brown,How are the chicken pieces distributed in the dish?,scattered,Where are the chicken pieces mostly located??,on the left
f020cc422c3e40b,What color are the shrimp?,pinkish-orange,Where are the shrimp located?,located on top of,What is the dark green vegetable mixed with the risotto?,spinach,What is covering the bottom of the plate?,covering,What is the base of the dish??,risotto
4b305ea3fd63aef,What color are the pieces of roast?,brown,What is the roast prepared as?,roast,How are the pieces of roast placed in the pan?,arranged,What type of pan is the roast arranged in?,in a metallic pan,What is sprinkled on top of the roast??,sprinkled
7ea6c1a4304045c,What is the color of the onion gravy?,brown,Where is the bottom round roast located in the image?,located in,What is the texture of the onion gravy?,gravy,What is the color of the onion gravy?,yellow,What is the appearance of the onion gravy??,translucent
f1c76dfc8157c0e,What color is the shredded meat?,brown,What type of food is the shredded meat?,meat,What color is the plate?,white,Where is the shredded meat located on the plate?,on the left,What color are the carrot pieces??,orange
32eaae4364b85c1,What color is the roast?,brown,What is the main dish in the image?,roast,What color are the peas?,green,What is the roast served with?,with,What color are the carrots??,orange
dcdfdbb0f6fb7c1,What color is the exterior of the roast?,brown,What type of meat is being prepared?,roast,What color is the center of the sliced roast?,pinkish-red,On what surface is the roast placed?,on a wooden cutting board,How are the slices of the roast arranged??,overlapping
68a53d81b9ed1bf,What type of meat is used in the pot roast?,beef,What color is the shredded beef?,reddish,What type of potatoes are scattered throughout the dish?,potatoes,What color are the carrots in the dish?,orange,Where is the shredded beef piled in the dish??,in the center
309b221fbad12ef,What color is the exterior of the roast?,browned,What type of meat is the roast?,roast,What color is the sauce on the roast?,red,What surrounds the roast on the plate?,surrounds,Where is the pasta located relative to the roast??,on the right
98be9b8ded02c23,What is the color of the beef pot roast?,brownish-gray,Where is the beef pot roast located on the plate?,located on the right,How are the slices of beef pot roast arranged?,stacked,What is scattered on top of the beef pot roast?,greenery,What type of vegetable is located underneath and to the left of the beef pot roast??,potatoes
88082b98be154f1,What is the color of the coffee roast?,dark,What is the color of the coffee roast?,brown,What is the state of the roast in relation to the mushrooms and onions?,covered,What green leaves are near the bottom left corner?,cilantro,Where is the roast located in the image??,at the bottom
5bb353c68e6ca05,What is the color of the glazed chuck roast pieces?,reddish-brown,What is the main type of meat in the dish?,roast,How do the chuck roast pieces appear on the plate?,glazed,"What color are the small, cylindrical pieces interspersed amongst the roast?",green,Where are the Bobby's Smoked Chuck Roast pieces primarily located??,in the center
ad41146635c72a6,What color is the meat?,reddish-brown,What is the main ingredient in the dish besides potatoes?,meat,What color are the potatoes?,gold,Where is the meat distributed?,distributed throughout,What is the shape of the potatoes??,potatoes
f71ba10eff86632,What color is the plate?,white,What is the main dish in the image?,roast,What color is the roast?,brown,Where are the diced carrots located in the dish?,within,What color are the parsley pieces??,green
c80ed3702f3c887,What color is the roast meat?,reddish-brown,What cooking method is used for the meat in the image?,roast,What color is the slow cooker?,white,Where are the pepperoncini peppers located?,in the broth,What color are the chopped herbs used as garnish??,green
6b551726f20220b,What color is the roast?,brown,How does the roast appear due to the gravy?,glistening,What is located to the left of the roast?,rice,What color are the peas?,green,Where is the rice located in relation to the roast??,to the left
ff205d7130c410e,What color is the roast?,pink,What cooking method was used for the roast?,roast,Where is the roast placed?,on a wooden cutting board,What color is the crust of the roast?,brown,Is the roast pink??,is
c2453c32e48b929,What color is the dish that contains the pot roast?,red,What shape are the potatoes in the dish?,round,Where is the green parsley located?,sprinkled on top,What color are the carrots in the dish?,orange,How are the potatoes arranged in the dish??,distributed
11e9140fac2ba3e,What color is the interior of the roast?,pink,What is the cooking method used for the roast?,roast,What color is the exterior of the roast?,brown,How is the roast positioned in the image?,positioned,Where is the roast placed??,atop a wooden
b21210fb2292185,What color is the moose roast?,brown,What is the moose roast covered in?,covered,What is the glossy brown liquid on the moose roast?,gravy,What appliance was used to cook the moose roast?,Slow Cooker,Where is the moose roast located on the plate??,on the bottom left
af8f0a9e6fe1d44,What color is the roast?,brownish-gray,What type of meat is shown in the image?,roast,What color are the carrots in the sauce?,orange,Where are the herbs and spices placed?,on top of,What is surrounding the roast on the plate??,sauce
cab1cff4b8e87aa,What type of meat is shown in the image?,beef,What color is the center of the beef slices?,rosy,What color is the crust along the edges of the beef slices?,black,Where are the juices pooling?,juices around,What is the doneness of the beef??,doneness
af379ab1fd32a4b,What color are the egg rolls?,golden-brown,What type of food is shown in the image?,egg rolls,What is the filling inside the egg rolls?,beef,Where are the egg rolls placed?,on a plate,How do the egg rolls appear in terms of texture??,crispy
a76605132412aac,What is the flavor of the dinner rolls?,sweet,What type of baked goods are shown in the image?,rolls,What color are the outer surfaces of the rolls?,golden-brown,Where are the sweet dinner rolls placed?,on a grey plate,What color is the cloth visible in the top left corner??,blue
8aa51d183f4cb3d,What color are the tops of the rolls?,golden brown,What type of baked goods are shown in the image?,rolls,What is the texture of the lower parts of the rolls?,creamy,Where is the golden brown color located on the rolls?,on top,What is the texture of the edges where the rolls touch??,soft
ac9d7155a19655a,What type of rolls are shown in the image?,butterhorn,What color are the rolls on the outside?,golden,How are the rolls arranged in the basket?,stacked,What color is the inside of the rolls?,yellow,Where are the rolls located??,in a basket
07a9e0ff38691c7,What color are the dinner rolls on the bottom and sides?,golden,What type of food is featured in the image?,rolls,What color is the top of the dinner rolls?,yellow,Where are the dinner rolls placed?,on the board,What is sprinkled on top of the dinner rolls??,seasoning
7dd1f28aa450c69,What color are some of the rolls?,golden,What type of food is shown in the image?,rolls,What color is the most burnt part of the roll?,black,Where are the rolls placed?,on a baking sheet,What is the condition of the most burnt roll??,burnt
f144047b824a6bf,What is the first roll-up displaying?,displaying,What color is the outer wrap of the first roll-up?,off-white,What is one of the layers within the first roll-up?,meat,What color is the strip of tomato in the second roll-up?,red,What is one of the layers visible through the open end of the second roll-up??,lettuce
9a6ef55e58c8bfb,What color are the rolls on top?,golden,What type of food is shown in the image?,rolls,What color are the rolls on their upper surfaces?,brown,Where are the coarse salt and brown caraway seeds sprinkled?,on top,How are the rolls in the top row positioned relative to each other??,adjacent
5093435d665cf7a,What color are the cinnamon rolls in the baking dish?,golden-brown,Where does the single cinnamon roll on the right side of the image sit?,sits,What meat is mentioned in the description?,bacon,What color is the rim of the plate on the right side of the image?,red,Where are the cinnamon rolls in the baking dish located??,in the image
7784359119b7666,What color is the roe on top of the sushi?,vibrant,What type of food is shown in the image?,sushi,What color is the roe on the sushi?,red,What is the size of the roe on the sushi?,with tiny,What ingredient is light green in the sushi filling??,avocado
fb9b22ff78dd7e3,What type of rolls are shown in the image?,wheat,What is the color of the lighter wheat rolls?,light,What color are the tops of some of the rolls?,brown,How are the rolls arranged in the basket?,pile,Where are some of the rolls situated in relation to others??,on top of
974ae7b20d46236,What color is the tomato sauce in the dish?,vibrant,What type of dairy product is melted on top of the roll ups?,cheese,What are the main components of the dish submerged in the sauce?,roll ups,What color is the melted cheese on top of the roll ups?,white,Where are the roast beef and cheese roll ups placed??,in a clear glass
12c14ce44756983,What color is the plate?,white,What is the shape of the food item?,roll,What is the texture of the base of the roll?,glazed,What color is the top of the roll?,gray,Where is the roll placed??,on a plate
ad59f37038c87eb,What color are most of the cinnamon rolls?,beige,What is the shape of the baked goods in the image?,rolls,What flavor is the filling in the rolls?,cinnamon,What color are some of the rolls compared to others?,darker,Where are the rolls located in the image??,in the foreground
081c012340de358,What color is the zucchini's exterior?,green,What vegetable is used to make the rolls?,zucchini,What color is the inside of the zucchini rolls?,yellow,What color is the plate?,reddish-brown,Where are the small green herbs placed??,on top
83cddb1a32acb9f,What color are the elevated surfaces of the rolls?,golden-brown,What are the items in the image called?,rolls,How are the rolls arranged?,stacked,What is the color of the rolls at the bottom?,lighter,Where are several rolls located??,towards the top-left area
b04653411ba8e42,What type of food is shown in the image?,rolls,How are the crescent rolls arranged in the basket?,piled,What color is the basket?,red,Where are the crescent rolls placed?,in a red basket,How are the crescent rolls positioned relative to each other??,clustered
68638ea7fdb11bd,What color is the outer pastry of the rolls?,golden-brown,What is the shape of the food items in the image?,rolls,What is the darker brown spiraled filling made of?,cinnamon,What color is the plate the rolls are placed on?,white,Where are the Simple Puff Pastry Cinnamon Rolls placed??,on a plate
74a94e710a72f92,What color are the rolls?,yellow,What type of baked goods are shown in the image?,rolls,What fruit is embedded within the dough?,blueberries,What color is the baking pan?,gray,Where are the blueberries located??,within the dough
181b2b91e46dc05,What is the color of the dough?,light,What type of food is shown in the image?,rolls,What color is the cinnamon filling?,brown,How are the rolls placed relative to each other?,together,How is the cinnamon sprinkled on the rolls??,asymmetrically
3412a0752b91463,What color are the sesame date rolls?,brown,What are the sesame date rolls called?,rolls,What color are the sesame seeds?,beige,What are the sesame seeds on?,with,Where are the sesame date rolls placed??,on a white surface
3873e9890f061fa,What color is the center sandwich roll?,tan,What type of food is shown in the image?,rolls,What color is the cloth the sandwich rolls are sitting on?,red,Where is the second sandwich roll located relative to the center roll?,behind,Where is the third sandwich roll located in the image??,at the bottom
cb362d47a16c8f6,What material is the pan made of?,silver,What type of food is shown in the image?,rolls,What color are the tops of the rolls?,golden-brown,Where are the rolls located in relation to the oven controls?,near the oven controls,What color is the unbrowned dough on the sides and bottoms of the rolls??,yellow
f4dc7843f6f7a19,What color is the bottom half of the closest roll?,golden-tan,What type of bread is shown in the image?,rolls,What material is the baking sheet lined with?,parchment,What color is the craggy top of the closest roll?,off-white,Where is the roll positioned relative to the center roll??,on the left side
18232397266ab10,What color is the outer wrap of the roll-ups?,creamy,What are the two roast beef horseradish items called?,roll-ups,What color is the roast beef inside the roll-up?,light brown,Where are the spinach leaves mostly positioned in the roll-up?,in the roll-up,What color are the strawberries behind the roll-ups??,red
f2b792cf890f024,What color are the hot dogs?,reddish-brown,What type of food is wrapped in the tortilla?,hot dogs,What color is the cheese slice?,yellow,Where are the hot dog roll-ups placed?,on a plate,What color is the plate??,white
ae14c37e1da12cc,What color is the salami in the roll-up?,light pink,What type of meat is the outermost layer of the roll-up?,salami,What color is the cream cheese in the roll-up?,white,What color is the pepperoncini in the roll-up?,yellow-orange,Where is the pepperoncini located in the roll-up??,in the center
c62e462e3a7c995,What is the color of the filling in the Crabmeat Roll-Ups?,creamy,What is the color of the plate?,plate,What color is the filling of the Crabmeat Roll-Ups?,orange,What is the shape of the roll-up closest to the viewer?,with the roll-up,What is the garnish on the Crabmeat Roll-Ups??,parsley
8282aeb8098e164,What color are the tortilla slices in the image?,beige,What type of food is shown in the image?,tortilla,What color is the surface on which the rollups are placed?,blue,Are the fillings inside the rollups visible?,visible,Where are the Mexi-Rollups placed??,on a light blue surface
cd420a8dcf60d92,What color is the exterior of the rollups?,golden-brown,What are the two items on the plate called?,rollups,What color are the flowers on the plate?,blue,Where are the Garlic Cheese Chicken Rollups placed?,on the plate,What is the white filling visible in the rollups??,cheese
92914f4fc0cece3,What material is the cutting board made of?,wooden,What is the outer layer of the roll-ups made of?,tortilla,What color is the filling inside the tortilla?,white,What color are the small flecks in the filling?,green,Where are the roll-ups positioned on the board??,across the board
e09d26bd458c3fe,What color is the creamy filling in the rollups?,creamy,What are the main components of the dish?,rollups,What color is the salami in the rollups?,pink,What is inside the rollups?,with the filling,What color are the pickles in the rollups??,green
09ff9fac1a1876a,What is the surface of the rollups like?,beige,What are the main items in the image?,rollups,How are the rollups positioned in the sauce?,submerged,How are the other rollups arranged?,horizontally,What color is the sauce??,in a light yellow sauce
00240c379c29705,What color is the exterior of the chicken?,pale,What type of meat is used in the roll-ups?,chicken,What color are the asparagus spears?,green,Is the top of the right roll-up browned?,browned,Where is the red pepper located??,on the top
a0e3891ea7d37dc,What color is the coating on the tri-tip meat?,black,Where is the Tri-Tip Rub located?,located,What type of meat is being described?,tri-tip,What is the coating on the outer edges of the meat?,meat,Where is the dark coating located on the tri-tip??,on the outer edges
cd1a71015616b69,What material is the cutting board made of?,wooden,What type of meat is shown in the image?,ribs,What color is the rub on the ribs?,reddish-brown,What color is the meat inside the ribs?,light,Where are the ribs placed??,on a wooden cutting board
e58085437b7ee3a,What color is the Greek Spice Rub?,brown,Where is the Greek Spice Rub contained?,contained,What is the Greek Spice Rub placed in?,bowl,What material is the cutting board made of?,wooden,Where is the bowl located??,on a wooden cutting board
4d9594ed0dd7d05,What is the Beef and Lamb Dry Rub contained in?,bowl,What color is the bowl?,yellow,What is the Beef and Lamb Dry Rub?,is,What is the texture of the Beef and Lamb Dry Rub?,granular,Where is the Beef and Lamb Dry Rub??,in the bowl
11c9d8c80cb67bf,How would you describe the size of the turkey?,small,What type of meat is shown in the image?,turkey,What color are the dark flecks on the turkey?,green,What is the turkey seasoned with?,with herb,What color is the skin of the turkey??,brown
455ac064d1355a4,What color is the Chicken Rub?,reddish-brown,Where is the Chicken Rub located?,located,What is the Chicken Rub placed in?,bowl,What is filling the bowl?,filling,What part of the bowl does the Chicken Rub occupy??,of the bowl
ca4f31a2e6498ee,What type of seasoning is the Jim Goode's BBQ Beef Rub?,BBQ,Are the white and yellow specks visible in the Jim Goode's BBQ Beef Rub?,visible,What type of meat is the Jim Goode's BBQ Beef Rub used for?,beef,What is the texture of the Jim Goode's BBQ Beef Rub?,coarse,Where is the Jim Goode's BBQ Beef Rub located in the image??,in the center
94af6ecfce55b7f,What color is the dry rub on the ham?,brown,What type of meat is being prepared in the image?,ham,What effect has the dry rub created on the ham's surface?,caramelized,How does the exterior of the ham appear due to the dry rub?,textured,Where is the ham placed in the image??,in the image
85fd74aa4fcac32,Does the turkey have a sweet flavor?,sweet,What type of meat is shown in the image?,turkey,What color is the rub on the turkey?,red,Where is the rub distributed?,on the surface,Where does the turkey sit??,sits
b27f5db134d3d97,What color is the dark mound at the top left?,reddish-brown,What is the container holding the spices?,bowl,How would you describe the assortment of spices?,colorful,What is the stark white mound made of?,of salt,What color are the herbs next to the brown sugar??,olive-green
b04183d45e40ff2,What type of seasoning is in the jar?,BBQ,What is the BBQ Spice Rub contained in?,jar,Where is the spoon in relation to the BBQ Spice Rub?,submerged,What color is the spoon?,silver,Where is the jar positioned in the image??,in the center
d6e8aff97131687,What color is the chicken's skin?,golden-brown,What type of meat is shown in the image?,chicken,Where is the chicken placed?,on a grill,What color are the rub pieces scattered on the chicken?,green,Where does the chicken sit??,sits
afaa136a40664b6,What color is the bowl containing the dry rub?,white,Where is the dry rub located first?,bowl,What color is the dry rub in the bowl?,brown,Where is the dry rub sprinkled?,on the rack,What color are the specks of dry rub on the ribs??,sprinkled
29c001650237904,What color is the spice rub?,reddish-brown,What is the spice rub stored in?,jar,What happened to some of the spice rub?,spilled,What color are the tiny specks in the spice rub?,green,Where is the spilled spice rub located??,on the right side
6ae0574cf967605,What color are the specks in the dry rub?,brown,What material is the jar made of?,glass,Where is the dry rub contained?,contained,What utensil is used to hold a portion of the dry rub?,spoon,Where is the jar placed??,on a wood surface
33bb2ac4d3ed12f,What color is the BBQ rub on the beef ribs?,dark,What part of the beef is being described?,ribs,What color is the plate the ribs are on?,white,Where is the BBQ rub applied?,on the beef ribs,Where is one rib section stacked??,stacked
b6709628d0c8821,What is happening to the Brown Sugar BBQ Rub from the yellow-striped jar?,spilling,What type of container is the Brown Sugar BBQ Rub in on the lower left?,jar,What color is the jar in the lower left of the frame?,blue,Where is the spilling Brown Sugar BBQ Rub located?,on the bottom,What material is the spoon next to the plate made of??,wooden
215f4ebf4cc4bfb,What color are the flakes in the Jamaican Jerk Dry Rub?,brown-orange,What are the small brown round bits and thin green needle-like pieces in the Jamaican Jerk Dry Rub called?,flakes,What does the Jamaican Jerk Dry Rub contain?,contains,What color are the small crystals in the Jamaican Jerk Dry Rub?,white,Where are the white crystals more concentrated in the image??,toward the top-left corner
16a60c1b0dc2419,What color is the mixture in the bowl?,reddish-brown,What is the mixture contained in?,bowl,What color is the bowl?,silver,Where is the spoon located in relation to the rub?,in the rub,How does some of the rub appear??,clumped
adbe64ea3620c62,What color is the BBQ Dry Rub?,brown,What type of container is the BBQ Dry Rub in?,container,What is the appearance of the container?,clear,Where is the container positioned?,on top of,What is the surface under the container??,surface
5b919323320f7bf,What type of bowl is used to hold the spice rub ingredients?,clear,What color is the spice located above the black pepper?,bowl,Where is the dark red spice located in relation to the black pepper?,red,What color are the dried herbs in the bowl?,above,Where is the bright red spice located in relation to the brown sugar??,green
15403e1c33c3637,What color are the rosemary flakes?,green,What is done to the meat with the rub?,rub,How is the rub spread on the meat?,distributed,What is the rub applied to?,meat,Where is the rub primarily visible on the cutting board??,on the bottom
1850efa244a1c94,What color are the steaks?,brown,What is the main food item in the image?,steaks,What color are the grilled coffee rubs?,white,What color are the grill marks on the steaks?,with darker grill marks,What color are the stems on the grilled coffee rubs??,green
db412e3ea8bafb3,What type of cuisine is the dry rub associated with?,Mexican,What is the dry rub described as?,mixture,What color is the plate?,white,Where is the dry rub placed?,on the white plate,What color flecks are visible in the mixture??,red
115c555805b85c8,What is the texture of the bowl?,clear,What type of ingredients are in the first pile of spices?,herbs,What is the color of the third pile of spices?,green,Where are the spices located?,inside the bowl,How much of the bowl do the spices fill??,fill
7de5415462e0bf0,What is the overall color of the spice mix?,orange-reddish-brown,Where is the spice mix contained?,bowl,What is the orange-red powder part of?,contained,Where is the clear glass bowl located in the image?,of the image,What color are the measuring spoons??,silver
a9e83659f64945a,What shape does the Memphis Rub form?,mound,What does the Memphis Rub fill in the image?,filling,What color are the specks intermixed within the orange-red base?,white,How are the white and green specks distributed within the orange-red base?,intermixed,Where does the Memphis Rub fill the space from??,from the bottom upwards
