,Image,Question,Answer
35033,e39c6e27a5f4e41,What color are the herbs sprinkled on top of the cheese,green
35034,e39c6e27a5f4e41,What is the spaghetti coated with,coating
35040,aec5ae76e7edd60,What color is the macaroni in the dish,yellow
35041,aec5ae76e7edd60,What is the color of the shrimp in the dish,macaroni
35042,aec5ae76e7edd60,How are the shrimp arranged in the dish,orange
35043,aec5ae76e7edd60,What color is the melted cheese on top of the dish,interspersed
35044,aec5ae76e7edd60,What is scattered on top of the dish along with parsley leaves and pepper flakes,on top
35045,f30a846a7b9b39e,What color are the shrimp,pinkish-orange
35046,f30a846a7b9b39e,What type of seafood is arranged around the perimeter of the plate,shrimp
35047,f30a846a7b9b39e,What color are the grits in the center of the plate,white
35048,f30a846a7b9b39e,Where are the shrimp located on the plate,around the perimeter
35049,f30a846a7b9b39e,How are the diced red peppers and crumbled bacon placed on the plate,scattered
35050,80b50b4bf21171d,What color is the tail section of some shrimp,orange
35051,80b50b4bf21171d,What type of seafood is shown in the image,shrimp
35052,80b50b4bf21171d,How are the shrimp positioned in the frame,arranged
35053,80b50b4bf21171d,What color are the specks on the shrimp from the seasoning,brown
35054,80b50b4bf21171d,Where are some of the shrimp located,on the left side
35055,090615c25086af9,What color are the tails of the shrimp,pink
35056,090615c25086af9,What type of seafood is shown in the image,shrimp
35057,090615c25086af9,What is the color of the plate the shrimp are served on,on a white plate
35058,090615c25086af9,What color is the garnish surrounding the shrimp,green
35059,090615c25086af9,What fruit is placed near the parsley,lemon
35060,be50020566a41ae,What color are the baked stuffed shrimp,brownish-gray
35061,be50020566a41ae,What type of seafood is shown in the image,shrimp
35062,be50020566a41ae,How are the shrimp positioned on the plate,arranged
35063,be50020566a41ae,What color is the lettuce under the shrimp,green
35064,be50020566a41ae,Where are the shrimp placed,on a bed
35065,9ad2827f5191506,What color is the batter and sauce on the shrimp,creamy
35066,9ad2827f5191506,What type of seafood is featured in the dish,shrimp
35067,9ad2827f5191506,What color are the walnuts,brown
35068,9ad2827f5191506,What is sprinkled throughout the dish,sprinkled
35069,9ad2827f5191506,What is the shrimp and walnuts sitting on top of,rice
35070,4b545f43be1f8a1,What color is the spaghetti,yellow
35071,4b545f43be1f8a1,What does the spaghetti cover,covers
35072,4b545f43be1f8a1,What is the spaghetti served on,plate
35073,4b545f43be1f8a1,What color are the shrimp,pinkish-orange
35074,4b545f43be1f8a1,Where are the shrimp located,on top of
35075,d70a862e153f0d0,What type of seafood is featured in the dish,shrimp
35076,d70a862e153f0d0,What color are the chives on top of the shrimp,green
35077,d70a862e153f0d0,What color are the shrimp,white
35078,d70a862e153f0d0,How are the shrimp arranged on the plate,arranged
35079,d70a862e153f0d0,Where are the shrimp placed on the plate,in the center
35080,d96a39b6f34ee5b,What color is the bowl,white
35081,d96a39b6f34ee5b,What type of seafood is in the dish,shrimp
35082,d96a39b6f34ee5b,What color are the bell peppers,green
35083,d96a39b6f34ee5b,What color are the peanuts,light brown
35084,d96a39b6f34ee5b,Where are the ingredients placed,in a bowl
35090,a49e46e33d21f94,What color is the bowl that holds the shrimp,gray
35091,a49e46e33d21f94,What type of seafood is featured in the dish,shrimp
35092,a49e46e33d21f94,What color do the shrimp exhibit,reddish-orange
35093,a49e46e33d21f94,What color is the sauce that the shrimp are partially submerged in,in a reddish-brown sauce
35094,a49e46e33d21f94,What color are the pieces of bread in the image,golden-brown
35095,71eb7b3d88a5bc8,What type of meat is shown in the image,steak
35096,71eb7b3d88a5bc8,What color are the steak pieces,brown
35097,71eb7b3d88a5bc8,How are the skewers placed on the plate,diagonally
35098,71eb7b3d88a5bc8,What color are the chopped green onions,green
35099,71eb7b3d88a5bc8,Where are the green onions mostly located,on the steak
35100,dffe989e3b8ddd0,What color is the plate,light
35101,dffe989e3b8ddd0,What type of food is on the skewers,pancake
35102,dffe989e3b8ddd0,What color is the sausage meat,brown
35103,dffe989e3b8ddd0,Where are the mini sausage pancake skewers placed,on the plate
35104,dffe989e3b8ddd0,What is in the clear glass bowl to the left,syrup
35105,7380d473ed56b04,What color are the cherry tomatoes on the skewers,red
35106,7380d473ed56b04,What are the ingredients threaded onto,skewers
35107,7380d473ed56b04,What color is the rectangular plate,gray
35108,7380d473ed56b04,What is the dark balsamic glaze doing around the skewers,drizzled
35109,7380d473ed56b04,Where are the skewers placed,on a gray rectangular plate
35110,1265108e93f9d77,What color are the chicken pieces,brown
35111,1265108e93f9d77,What type of meat is light brown with grill marks,chicken
35112,1265108e93f9d77,What color is the chorizo,reddish-orange
35113,1265108e93f9d77,Where are the skewers placed,on a grill
35114,1265108e93f9d77,What fruit is interspersed among the other ingredients on the skewers,pineapple
35115,ee4b4290c89b9e4,What color is the grilled chicken,brown
35116,ee4b4290c89b9e4,What type of meat is on the skewers,chicken
35117,ee4b4290c89b9e4,What is on top of the chicken pieces,topped
35118,ee4b4290c89b9e4,What color is the plate,white
35119,ee4b4290c89b9e4,Where is the glass bowl located,to the left
35125,908a22c3b730649,What color are the chicken pieces,brown
35126,908a22c3b730649,What type of meat is used for the skewers,chicken
35127,908a22c3b730649,How are the skewers positioned on the plate,arranged
35128,908a22c3b730649,What color are the bell pepper pieces,green
35129,908a22c3b730649,Where are the skewers placed,on the skewers
35130,59f71e32f814e24,What color is the ground beef,brownish-gray
35131,59f71e32f814e24,What type of meat is used for the skewers,beef
35132,59f71e32f814e24,How is the glaze applied to the meatballs,drizzled
35133,59f71e32f814e24,What color are the cilantro leaves,green
35134,59f71e32f814e24,Where are the cilantro leaves placed,on top of
35135,aac57a99d4eade2,What color is the wooden cutting board,brown
35136,aac57a99d4eade2,What type of meat is used in the skewers,chicken
35137,aac57a99d4eade2,What color are the chicken pieces,beige
35138,aac57a99d4eade2,What material are the skewers made of,metallic
35139,aac57a99d4eade2,Where are the skewers placed,on the board
35140,33c22b021b977c6,What is the main ingredient of the skewers,beef
35141,33c22b021b977c6,What color is the beef on the skewers,brownish-gray
35142,33c22b021b977c6,What color are the limes,green
35143,33c22b021b977c6,What is the beef served with,with accompaniments
35144,33c22b021b977c6,What color are the sweet peppers,orange
35145,27b984d88e71fab,What color is the ham on the skewers,pink
35146,27b984d88e71fab,What type of meat is light pink and rolled on the skewers,ham
35147,27b984d88e71fab,What color are the cherry tomatoes on the skewers,red
35148,27b984d88e71fab,Where are the ingredients placed on the skewers,on the skewers
35149,27b984d88e71fab,What color are the cornichons on the skewers,green
35150,cfdc8564505bef7,What color are the zucchini pieces,green
35151,cfdc8564505bef7,What are the vegetables arranged on,skewers
35152,cfdc8564505bef7,What color are the potato chunks,yellow
35153,cfdc8564505bef7,What color are the cherry tomatoes,red
35154,cfdc8564505bef7,Where are the skewers placed,on a plate
35160,0a17f55cee52619,What color are the kidney beans,reddish-brown
35161,0a17f55cee52619,How are the kidney beans distributed,scattered
35162,0a17f55cee52619,What type of kernels are mixed in,corn
35163,0a17f55cee52619,What color are the diced tomatoes,red
35164,0a17f55cee52619,Where is the sprig of curly parsley located,on the right side
35165,5b0a18475abff7c,What color is the ground beef in the skillet,brown
35166,5b0a18475abff7c,What is the primary grain in the skillet,rice
35167,5b0a18475abff7c,What color are the diced tomatoes scattered across the skillet,red
35168,5b0a18475abff7c,Where are the diced red tomatoes scattered,scattered across
35169,5b0a18475abff7c,What is the state of the cheese in the skillet,melted
35170,dd1ca91b70bccd0,What color are the chunks of squash,yellow
35171,dd1ca91b70bccd0,What type of food is being cooked in the skillet,vegetables
35172,dd1ca91b70bccd0,What covers the vegetables in the skillet,coating
35173,dd1ca91b70bccd0,What color are the lemon wedges,red
35174,dd1ca91b70bccd0,Where are the lemon wedges placed in the dish,at the top
35175,93688ab55065b2e,What color are the tortellini,yellow
35176,93688ab55065b2e,What is the chicken cooked in,skillet
35177,93688ab55065b2e,What shape is the chicken,diced
35178,93688ab55065b2e,What color are the cherry tomatoes,red
35179,93688ab55065b2e,Where is the shredded cheese sprinkled,over the entire skillet
35180,f71e40c225b6855,What is the texture of the sauce in the dish,creamy
35181,f71e40c225b6855,What type of pasta is used in the dish,macaroni
35182,f71e40c225b6855,How are the ingredients combined in the dish,mixed
35183,f71e40c225b6855,What color is the macaroni in the dish,yellow
35184,f71e40c225b6855,What type of sauce is the dish coated in,in a creamy sauce
35185,d96d5c5e7214829,What color are the BBQ Chicken pieces,tan
35186,d96d5c5e7214829,What type of meat is used in the dish,chicken
35187,d96d5c5e7214829,What color are the bell peppers in the dish,red
35188,d96d5c5e7214829,Where are the green onions placed,on top
35189,d96d5c5e7214829,What color is the plate,blue
35190,8d4a42c62092b9f,What color are the potatoes in the skillet,golden-brown
35191,8d4a42c62092b9f,What is the base of the skillet made of,potatoes
35192,8d4a42c62092b9f,Where are the potatoes scattered,scattered throughout
35193,8d4a42c62092b9f,What color are the chopped scallions,green
35194,8d4a42c62092b9f,How are the eggs cooked,fried
35195,a01e139a65040b8,What color is the ground beef,light brown
35196,a01e139a65040b8,What is the food cooked in,skillet
35197,a01e139a65040b8,What color are the beans,dark red
35198,a01e139a65040b8,What color are the bell peppers,green
35199,a01e139a65040b8,Where are the ingredients distributed,throughout
35200,1407ca14ace390c,What color is the outside of the chicken breast,golden-brown
35201,1407ca14ace390c,What type of meat is shown in the image,chicken breast
35202,1407ca14ace390c,What color is the inside of the chicken breast,white
35203,1407ca14ace390c,Where is the chicken breast placed,on a plate
35204,1407ca14ace390c,Is the chicken breast cooked,cooked
35205,b4d72515911b900,What type of meat is used in the dish,chicken
35206,b4d72515911b900,What is the cooking vessel used for the dish,skillet
35207,b4d72515911b900,What is the base layer of the dish made of,rice
35208,b4d72515911b900,What color are the peas in the dish,green
35209,b4d72515911b900,Where are the chicken thighs located in the skillet,on top of
35210,8acc0f713340eb5,What color is the cast iron skillet,dark-colored
35211,8acc0f713340eb5,What type of cookware is used for the Unstuffed Pepper Skillet,skillet
35212,8acc0f713340eb5,What color are the diced peppers in the skillet,red
35213,8acc0f713340eb5,Where is the portion of the Unstuffed Pepper Skillet served,on the white plate
35214,8acc0f713340eb5,What is melted and shredded on top of the skillet's contents,cheese
35215,bfb9ddc71965cea,What color is the exterior of the chicken,golden-brown
35216,bfb9ddc71965cea,What type of meat is in the image,chicken
35217,bfb9ddc71965cea,What color are the asparagus spears,green
35218,bfb9ddc71965cea,Where are the mushrooms located in relation to the chicken,beneath the chicken
35219,bfb9ddc71965cea,What type of vegetable is interspersed among the asparagus,mushrooms
35220,7716d70e5fd794e,What color is the sauce on the chicken,orange
35221,7716d70e5fd794e,What type of meat is featured in the skillet,chicken
35222,7716d70e5fd794e,What is the texture of the cheese on the chicken,melted
35223,7716d70e5fd794e,What color are the parsley leaves on top of the chicken,green
35224,7716d70e5fd794e,Where is the rice located in relation to the chicken skillet,to the left of
35230,88f288c489633fb,What word describes the appearance of the skillet,colorful
35231,88f288c489633fb,What type of pan is used to prepare the dish,skillet
35232,88f288c489633fb,What color are the corn kernels in the skillet,yellow
35233,88f288c489633fb,What ingredient is mostly white and diced in the skillet,potatoes
35234,88f288c489633fb,Where are the diced potatoes scattered,throughout
35235,a122d2f75f034d5,What is the cooking utensil used in the image,skillet
35236,a122d2f75f034d5,How are the sweet potato cubes arranged in the skillet,scattered throughout
35237,a122d2f75f034d5,What type of meat is crumbled in the skillet,bacon
35238,a122d2f75f034d5,What color is the bacon in the skillet,reddish-brown
35239,a122d2f75f034d5,What is the texture of the bacon in the skillet,crumbled
35240,613c8b458877de0,What is the overall appearance of the skillet,colorful
35241,613c8b458877de0,What type of pan is used to cook the dish,skillet
35242,613c8b458877de0,What color are the squash slices,yellow
35243,613c8b458877de0,What color are the zucchini slices,green
35244,613c8b458877de0,What is mixed in among the other vegetables,with the ingredients
35245,7fc585230958295,What color is the cabbage in the slaw,green
35246,7fc585230958295,What is the main vegetable in the slaw,cabbage
35247,7fc585230958295,What color are the shredded carrots in the slaw,orange
35248,7fc585230958295,How are the chopped red bell peppers distributed in the slaw,scattered
35249,7fc585230958295,Where are the ingredients in the slaw,in the slaw
35260,7220992b66563ac,What color is the cabbage,purple
35261,7220992b66563ac,What is the main vegetable in the slaw,cabbage
35262,7220992b66563ac,What color are the celery pieces,green
35263,7220992b66563ac,What color are the tomatoes,red-orange
35264,7220992b66563ac,Where are the ingredients served,in the bowl
35265,4f636ccc03711b5,What describes the appearance of the slaw,colorful
35266,4f636ccc03711b5,What is one of the main ingredients in the slaw,tofu
35267,4f636ccc03711b5,What color are the snow peas in the slaw,green
35268,4f636ccc03711b5,Where are the bean sprouts located in the slaw,in with
35269,4f636ccc03711b5,What color is the bowl the slaw is served in,blue
35270,db462a02da1d273,What green herb is sprinkled throughout the slaw,cilantro
35271,db462a02da1d273,What is the texture of the cabbage in the slaw,shredded
35272,db462a02da1d273,What is the main vegetable in the slaw,cabbage
35273,db462a02da1d273,Where are the mango pieces located in the slaw,intermixed throughout
35274,db462a02da1d273,What is the appearance of the salad due to the dressing,coated
35275,6461bdd3ff89c37,What is the name of the dish in the bowl,slaw
35276,6461bdd3ff89c37,What is the taste of the slaw,sweet
35277,6461bdd3ff89c37,What color is the bowl,white
35278,6461bdd3ff89c37,What color are the cabbage shreds,yellow
35279,6461bdd3ff89c37,Are the ingredients in the slaw mixed together,mixed
35280,e12dcfeba0c21bb,What is the texture of the cabbage in the image,shredded
35281,e12dcfeba0c21bb,What color is the cabbage primarily in the image,cabbage
35282,e12dcfeba0c21bb,What color are the carrot strips in the image,orange
35283,e12dcfeba0c21bb,What are the green pieces in the image,with the other ingredients
35284,e12dcfeba0c21bb,Where are the purple cabbage shreds primarily located in the image,purple
35285,ca5277a09cfd639,What color is the plate,reddish-brown
35286,ca5277a09cfd639,What is the state of the ramen noodles,cooked
35287,ca5277a09cfd639,What color are the carrot strands,orange
35288,ca5277a09cfd639,Where are the ramen noodles located,on top
35289,ca5277a09cfd639,What type of nuts are scattered across the slaw,almonds
35290,89668bece410c44,What color is the cabbage in the slaw,white
35291,89668bece410c44,What is the primary vegetable in the slaw,cabbage
35292,89668bece410c44,What color is the tablecloth,green
35293,89668bece410c44,What type of dressing coats the slaw,creamy
35294,89668bece410c44,Where is the bowl placed,on a green and white striped tablecloth
35295,964e7645aa4caf2,Where is the sweet sesame slaw located in the image,located
35296,964e7645aa4caf2,What type of dish is shown in the image,slaw
35297,964e7645aa4caf2,What color is the plate the slaw is served on,white
35298,964e7645aa4caf2,What color is the shredded cabbage in the slaw,green
35299,964e7645aa4caf2,Where is the slaw placed,on a plate
35300,224f36bad5171d3,What is the texture of the cabbage in the dish,shredded
35301,224f36bad5171d3,What is the main vegetable used in the dish,cabbage
35302,224f36bad5171d3,What color is the majority of the cabbage,white
35303,224f36bad5171d3,What is being done to the cabbage in the dish,adding
35304,224f36bad5171d3,Where is the sprig of parsley located,on the upper right side
35305,2cf7a767b5a0d2b,What is the texture of the slaw,creamy
35306,2cf7a767b5a0d2b,What type of dish is shown in the image,slaw
35307,2cf7a767b5a0d2b,What color streaks are visible in the slaw,orange
35308,2cf7a767b5a0d2b,Where do the orange streaks in the slaw come from,from carrots
35309,2cf7a767b5a0d2b,What is visible at the bottom-left corner of the image,visible
35310,a97001a91bfb343,What color is the bowl containing the slaw,white
35311,a97001a91bfb343,Where is the Appalachian Slaw served,bowl
35312,a97001a91bfb343,What color are the diced tomatoes in the slaw,red
35313,a97001a91bfb343,What does the slaw contain,contains
35314,a97001a91bfb343,Where is the slaw piled high,in a bowl
35315,54ad48258729209,What type of bowl is the slaw served in,clear
35316,54ad48258729209,What color is the shredded cabbage mostly,bowl
35317,54ad48258729209,What are the red grapes doing in the slaw,white
35318,54ad48258729209,What color is the creamy dressing,mixed
35319,54ad48258729209,Where are the grapes mostly located,on top
35320,5799ed523471962,Where is the first bowl of slaw located,located at
35321,5799ed523471962,What color is the slaw in the first bowl,purple
35322,5799ed523471962,What color is the slaw in the second bowl,yellow
35323,5799ed523471962,What does the third bowl of slaw contain,mix
35324,5799ed523471962,What are the toppings on the tacos,toppings
35325,3c56963f233e668,What color is the shredded cabbage,red
35326,3c56963f233e668,What vegetable is deep purple and forms the base of the salad,cabbage
35327,3c56963f233e668,What color are the carrot sticks,orange
35328,3c56963f233e668,How are the carrot sticks arranged in the salad,scattered
35329,3c56963f233e668,Where is the crumbled white cheese scattered,on the top
35330,86ec353338ed693,What color is the bowl containing the slaw,white
35331,86ec353338ed693,What is the slaw served in,bowl
35332,86ec353338ed693,What color is the apple sitting on the striped dish towel,green
35333,86ec353338ed693,What color is the cabbage in the slaw,purple
35334,86ec353338ed693,Where is the green apple placed,on the striped dish towel
35340,5d0a8b477a1bfd0,What color are the specks in the slaw,red
35341,5d0a8b477a1bfd0,What type of dish is shown in the image,slaw
35342,5d0a8b477a1bfd0,How does the slaw appear in terms of moisture,moist
35343,5d0a8b477a1bfd0,What color is the base of the slaw,brown
35344,5d0a8b477a1bfd0,What is scattered throughout the slaw,with specks
35345,70da1c0074b6786,What color is the bowl containing the slaw,white
35346,70da1c0074b6786,Where is the slaw located,bowl
35347,70da1c0074b6786,How are the diced tomatoes distributed in the slaw,scattered throughout
35348,70da1c0074b6786,What color are the diced tomatoes in the slaw,red
35349,70da1c0074b6786,How is the slaw positioned within the bowl,filling
35355,a5ee995e726deea,What type of berries are scattered throughout the slaw,cranberry
35356,a5ee995e726deea,What is the predominant color of the shredded cabbage,white
35357,a5ee995e726deea,What type of nut pieces are interspersed in the slaw,walnut
35358,a5ee995e726deea,What color are the carrot slivers in the slaw,orange
35359,a5ee995e726deea,Where are the dark red cranberries located in the slaw,throughout
35360,8581cabf974e550,What color is the bowl,white
35361,8581cabf974e550,What is the slaw served in,bowl
35362,8581cabf974e550,What color is the shredded cabbage,green
35363,8581cabf974e550,What color are the shredded carrots,orange
35364,8581cabf974e550,Where is the bowl located in the image,in the center
35365,e95c95b944616d5,What color are the carrots in the slaw,orange
35366,e95c95b944616d5,What vegetable is shredded in the slaw,cabbage
35367,e95c95b944616d5,Is the slaw in a bowl,bowl
35368,e95c95b944616d5,Where is the freezer bag located,on the right
35369,e95c95b944616d5,Is the cabbage in the slaw shredded,shredding
35370,42c7056fd166c1e,What color is the bowl that contains the slaw,blue
35371,42c7056fd166c1e,What color is the shredded cabbage in the slaw,green
35372,42c7056fd166c1e,What is the texture of the cabbage in the slaw,shredded
35373,42c7056fd166c1e,What fruit with a green hue is present in the slaw,avocado
35374,42c7056fd166c1e,Where are the chunks of avocado located in the slaw,within the slaw
35375,377775d42a78f27,What is the flavor profile of the slaw,sweet
35376,377775d42a78f27,What type of dish is being described,slaw
35377,377775d42a78f27,What is the dominant color of the slaw,purple
35378,377775d42a78f27,Where are the carrot slices located in the slaw,scattered throughout
35379,377775d42a78f27,What vegetable is bright orange and scattered throughout the slaw,carrots
35385,adf885ebfa8a902,What color is the Vernell's Slaw,yellow-green
35386,adf885ebfa8a902,What is the Vernell's Slaw served in,bowl
35387,adf885ebfa8a902,How does the Vernell's Slaw appear,shredded
35388,adf885ebfa8a902,Where is the bowl placed,on a
35389,adf885ebfa8a902,What color is the cloth under the bowl,red
35390,7dd8886c1114dfd,What color is the bowl,silver
35391,7dd8886c1114dfd,What color is the cabbage,red
35392,7dd8886c1114dfd,What is sprinkled on the slaw,sprinkled
35393,7dd8886c1114dfd,What is the off-white ingredient,jicama
35394,7dd8886c1114dfd,What color are the carrot sticks,in color
35395,3dda42e6f77c6dd,What color are the carrots in the slaw,orange
35396,3dda42e6f77c6dd,What type of vegetable is the lightest in color in the slaw,cabbage
35397,3dda42e6f77c6dd,What does the lime dressing do to the slaw,coats
35398,3dda42e6f77c6dd,What color is the wedge of lime on the slaw,green
35399,3dda42e6f77c6dd,Where is the wedge of lime positioned on the slaw,off-center to the left
35400,e07a29a06184b31,What word describes the red color of the marinara sauce,vibrant
35401,e07a29a06184b31,What is the main ingredient in the center of the slider,meatballs
35402,e07a29a06184b31,What color is the marinara sauce,red
35403,e07a29a06184b31,Where are the Parmesan shavings located,on top
35404,e07a29a06184b31,What color is the parsley sprig,green
35405,5b57fc5e8c6faad,What color is the plate,white
35406,5b57fc5e8c6faad,What is the main protein in the sliders,tempeh
35407,5b57fc5e8c6faad,What color is the buffalo sauce drizzled on top of the salad,orange
35408,5b57fc5e8c6faad,Where is the pita bread located in the frame,on top
35409,5b57fc5e8c6faad,What color is the buffalo sauce coating the tempeh,reddish-orange
35410,d8003baea2f7b06,What color is the plate,white
35411,d8003baea2f7b06,What type of food is inside the bombs,meatball
35412,d8003baea2f7b06,What color are the meatball slider bombs,golden-brown
35413,d8003baea2f7b06,What color are the meatballs inside the bombs,brown
35414,d8003baea2f7b06,Where is the small white bowl of tomato sauce placed,on a white plate
35415,0f1c3a38f74727e,What color are the cheese puffs,golden
35416,0f1c3a38f74727e,What type of food is being described,sliders
35417,0f1c3a38f74727e,What color is the burger patty,brown
35418,0f1c3a38f74727e,Where is the pale pink sauce located,on top of
35419,0f1c3a38f74727e,What color is the tomato slice,red
35420,20fd034255aa39e,What is the color of the surface the sliders are on,dark
35421,20fd034255aa39e,What is the main ingredient at the top and bottom of the sliders,tater tots
35422,20fd034255aa39e,What do the skewers do to the sliders,pierce
35423,20fd034255aa39e,What color is the mustard in the sliders,yellow
35424,20fd034255aa39e,Where are the tot sliders placed,on a dark gray surface
35425,d392da8f1e94bb2,What color are the slider buns,golden-brown
35426,d392da8f1e94bb2,What type of meat is used in the sliders,beef
35427,d392da8f1e94bb2,What does the image show,shows
35428,d392da8f1e94bb2,What color are the slices of cheese in the sliders,yellow
35429,d392da8f1e94bb2,Where is the shredded beef located in the sliders,in the middle
35430,6b8caecf9550333,What type of food is shown in the image,sliders
35431,6b8caecf9550333,Where are the cheeseburger sliders located,located
35432,6b8caecf9550333,What color is the plate in the lower center of the image,pink
35433,6b8caecf9550333,What type of burger is shown in the image,cheeseburger
35434,6b8caecf9550333,Where are the cheeseburger sliders located,in
35440,07b38a46bef678e,How are the sliders presented,arranged
35441,07b38a46bef678e,What type of food is shown in the image,slider
35442,07b38a46bef678e,What color is the egg yolk,yellow
35443,07b38a46bef678e,Where are the sliders placed,on a wooden board
35444,07b38a46bef678e,What is the layer above the egg yolk,cheese
35445,86ae1e08d0a612d,What color is the top bun of the sliders,golden-brown
35446,86ae1e08d0a612d,Where are the sliders placed,on a white plate
35447,86ae1e08d0a612d,What type of food are the items on the plate,sliders
35448,86ae1e08d0a612d,What is melted on top of the egg filling in the sliders,cheese
35449,86ae1e08d0a612d,What color is the slice of fruit behind the sliders,orange
35450,7ddd60bc53e3be6,What color is the plate in the foreground,light
35451,7ddd60bc53e3be6,What type of food is in the foreground,slider
35452,7ddd60bc53e3be6,What color is the bottom bun of the slider,golden-yellow
35453,7ddd60bc53e3be6,Where are the sliders placed,on plates
35454,7ddd60bc53e3be6,What is the appearance of the cheese on the sliders,melted
35455,9c9008c50885b58,What color is the bun of the sliders,golden-brown
35456,9c9008c50885b58,What type of food is being described,sliders
35457,9c9008c50885b58,What color is the cheese on the sliders,yellow
35458,9c9008c50885b58,Where is the first slider located,in the foreground
35459,9c9008c50885b58,What color is visible in the filling layers of the sliders,red
35460,df933cfc88b7240,What color is the bun on top of the slider,beige
35461,df933cfc88b7240,What type of food item is centrally located in the image,slider
35462,df933cfc88b7240,What color are the diced pickles on the slider,green
35463,df933cfc88b7240,Where are the additional diced pickles and chopped ingredients located,with
35464,df933cfc88b7240,Where are the additional diced pickles and chopped ingredients placed,scattered around
35465,b9987c93bb855c5,What material is the surface where the sliders are placed,wooden
35466,b9987c93bb855c5,What type of meat is inside the sliders,pork
35467,b9987c93bb855c5,What color is the pulled pork inside the sliders,brown
35468,b9987c93bb855c5,Where is the coleslaw placed in the sliders,on top
35469,b9987c93bb855c5,What color is the cilantro next to the sliders,green
35470,2718311e5a669c2,What color is the plate,white
35471,2718311e5a669c2,What type of food is being served,sliders
35472,2718311e5a669c2,What color are the slider buns,brown
35473,2718311e5a669c2,What color are the onion rings,purple
35474,2718311e5a669c2,Where are the onion rings located,on top of
35480,733bf6080525980,What color are the fries,golden-brown
35481,733bf6080525980,What food item is yellow on the plate,fries
35482,733bf6080525980,Where is the Big Mac slider located on the plate,yellow
35483,733bf6080525980,What condiment is served with the fries,on the right side
35484,733bf6080525980,What color is the ketchup,ketchup
35485,44f118fbc5ceba3,What color is the plate,white
35486,44f118fbc5ceba3,What type of food is shown in the image,burger
35487,44f118fbc5ceba3,What color is the toothpick tip,red
35488,44f118fbc5ceba3,Where are the sliders placed,on
35489,44f118fbc5ceba3,What is the filling doing to the bun,overflowing
35490,bd0d33863a44cdb,What color is the platter,white
35491,bd0d33863a44cdb,What type of food is shown in the image,sliders
35492,bd0d33863a44cdb,What color are the buns of the sliders,tan
35493,bd0d33863a44cdb,Where are the buns mostly located,on top
35494,bd0d33863a44cdb,What color is the lettuce on the sliders,green
35495,03c0fb9c508d0a6,What is the color of the raspberries,purple
35496,03c0fb9c508d0a6,What is the material of the container holding the slush,glass
35497,03c0fb9c508d0a6,How are the blackberries and raspberries arranged around the glass,scattered
35498,03c0fb9c508d0a6,What is the color of the raspberries,red
35499,03c0fb9c508d0a6,Where are the blackberries and raspberries placed,on the wooden surface
35505,48ab852546ddb60,What is the color of the lower portion of the coffee slush,light
35506,48ab852546ddb60,What type of beverage is shown in the image,coffee
35507,48ab852546ddb60,What is the color of the powder on top of the coffee slush,brown
35508,48ab852546ddb60,Where is the dark brown powder located,on the top
35509,48ab852546ddb60,What is the coffee slush contained in,glass
35510,1787c2b16add7ec,What color is the slush primarily,orange
35511,1787c2b16add7ec,What type of food is the slush made from,fruit
35512,1787c2b16add7ec,How are the red fruit bits distributed in the slush,scattered
35513,1787c2b16add7ec,What color is the slush at the bottom of the cups,yellow
35514,1787c2b16add7ec,"Where is the lighter, frosted orange-yellow color located",at the bottom
35515,345def3cd28bae0,What does the Hawaiian Slush mostly fill,red
35516,345def3cd28bae0,What is the Hawaiian Slush served in,bowl
35517,345def3cd28bae0,What state is the Hawaiian Slush in,frozen
35518,345def3cd28bae0,What color are the lime slices,pale green
35519,345def3cd28bae0,Where are the lime slices placed,on top
35520,0749cc210232bd9,What color is the slush,orange-red
35521,0749cc210232bd9,What does the slush do to the glass,fills
35522,0749cc210232bd9,What is the container for the slush,glass
35523,0749cc210232bd9,What color is the mint,green
35524,0749cc210232bd9,Where is the mint located,at the top
35525,0677b55c246b442,What is the pitcher made of,clear
35526,0677b55c246b442,What fruit gives the slush its dark blue and purple color,blueberries
35527,0677b55c246b442,What color is the halved orange,orange
35528,0677b55c246b442,What color are the blueberries,blue
35529,0677b55c246b442,Where is the halved orange positioned,to the left
35530,721fe5167af2afa,What color is the slush described as,vibrant
35531,721fe5167af2afa,What fruit is bright red and punctured with dark seeds,strawberry
35532,721fe5167af2afa,What color is the strawberry described as,red
35533,721fe5167af2afa,Where is the strawberry placed,on the rim
35534,721fe5167af2afa,What color is the plastic pick,blue
35535,628bb040ee74f75,What color are the slushies,reddish-pink
35536,628bb040ee74f75,How are the slushies presented,arranged
35537,628bb040ee74f75,What fruit flavor do the slushies have,watermelon
35538,628bb040ee74f75,Where are the watermelon slices placed,on the rim
35539,628bb040ee74f75,What color is the plate,green
35540,6639f13f26f32a5,What color is the slushie,reddish-purple
35541,6639f13f26f32a5,Where are the fragmented blackberries located,floating
35542,6639f13f26f32a5,What type of fruit is in the slushie,blackberries
35543,6639f13f26f32a5,What color are the blackberries near the bottom,dark
35544,6639f13f26f32a5,Where are the blackberries located in the slushie,near the bottom
35545,746f038fa321a96,What color are the slushies,yellow
35546,746f038fa321a96,What type of drink is in the glasses,slushies
35547,746f038fa321a96,What is the appearance of the glasses,clear
35548,746f038fa321a96,Which slushy is larger,larger
35549,746f038fa321a96,Where are the lime slices positioned,on the rim
35555,55c4abb0c4cba9b,What is the color of the glass,clear
